Group,value
intertidal,3.47
intertidal,3.82
intertidal,3.35
intertidal,3.82
intertidal,2.81
intertidal,2.13
intertidal,2.33
intertidal,2.23
intertidal,1.81
intertidal,3.98
intertidal,4.82
intertidal,3.7
intertidal,3.6
intertidal,3.48
intertidal,3.84
intertidal,4.53
intertidal,3.14
intertidal,2.13
intertidal,1.32
intertidal,1.62
intertidal,1.52
intertidal,1.73
intertidal,1.52
intertidal,2.03
intertidal,2.85
intertidal,4.21
intertidal,2.54
intertidal,2.02
intertidal,1.7
intertidal,4.75
intertidal,3.08
intertidal,2.32
intertidal,1.72
intertidal,1.01
intertidal,2.64
intertidal,1.71
intertidal,3.56
intertidal,2.85
intertidal,1.31
intertidal,4.82
intertidal,4.5
intertidal,4.32
intertidal,2.23
intertidal,1.8
intertidal,2.2
intertidal,3.42
intertidal,2.32
intertidal,0.91
intertidal,1.92
intertidal,1.71
intertidal,2.03
intertidal,3.06
intertidal,3.76
intertidal,4.83
intertidal,5.4
intertidal,5.81
intertidal,2.32
intertidal,0.81
intertidal,2.36
intertidal,2.14
intertidal,1.33
intertidal,1.24
intertidal,1.98
intertidal,2.84
intertidal,2.7
intertidal,2.49
intertidal,4.03
intertidal,4.2
intertidal,4.5
intertidal,4.42
intertidal,2.92
intertidal,1.46
intertidal,1.37
intertidal,1.16
intertidal,1.37
intertidal,1.76
intertidal,1.03
intertidal,1.12
intertidal,2.79
intertidal,2.19
intertidal,0.9
intertidal,3.13
intertidal,4.46
intertidal,2.32
intertidal,4.97
intertidal,2.92
intertidal,1.25
intertidal,1.54
intertidal,1.93
intertidal,2.11
intertidal,2.66
intertidal,2.53
intertidal,2.49
intertidal,0.64
intertidal,1.93
intertidal,2.83
intertidal,2.71
intertidal,1.08
intertidal,1.42
intertidal,2.79
intertidal,0.82
intertidal,0.77
intertidal,1.42
intertidal,0.86
intertidal,1.55
intertidal,1.46
intertidal,2.57
intertidal,2.14
intertidal,1.63
intertidal,2.32
intertidal,3.08
intertidal,2.15
intertidal,2.4
intertidal,1.03
intertidal,0.86
intertidal,1.42
intertidal,1.5
intertidal,2.23
intertidal,1.2
intertidal,1.03
intertidal,2.49
intertidal,2.4
intertidal,2.87
intertidal,3.05
intertidal,2.88
intertidal,3.65
intertidal,4.29
intertidal,3.43
intertidal,3.26
intertidal,2.27
intertidal,2.19
intertidal,0.99
intertidal,2.53
intertidal,2.45
intertidal,2.15
intertidal,2.7
intertidal,3.22
intertidal,3.04
intertidal,3.91
intertidal,4.72
intertidal,4.25
intertidal,1.63
intertidal,2.19
intertidal,2.36
intertidal,2.15
intertidal,1.84
intertidal,2.49
intertidal,2.14
intertidal,2.79
intertidal,2.84
intertidal,2.92
intertidal,3.3
intertidal,2.53
intertidal,2.4
intertidal,2.05
intertidal,1.55
intertidal,1.2
intertidal,2.06
intertidal,2.23
intertidal,3.26
intertidal,1.63
intertidal,2.14
intertidal,2.7
intertidal,4.68
intertidal,5.07
intertidal,4.03
intertidal,3.26
intertidal,2.7
intertidal,1.93
intertidal,2.32
intertidal,2.7
intertidal,2.4
intertidal,0.81
intertidal,1.54
intertidal,1.37
intertidal,3.73
intertidal,3.09
intertidal,3.82
intertidal,2.75
intertidal,1.03
intertidal,3.6
intertidal,1.67
intertidal,1.81
intertidal,2.92
intertidal,3.39
intertidal,3.6
intertidal,3.73
intertidal,3.17
intertidal,3.34
intertidal,3.52
intertidal,4.16
intertidal,4.37
intertidal,4.07
intertidal,4.2
intertidal,4.46
intertidal,3.51
intertidal,3.91
intertidal,3.09
intertidal,2.14
intertidal,3.22
intertidal,3.61
intertidal,4.5
intertidal,2.41
intertidal,3.82
intertidal,3.26
intertidal,3.34
intertidal,3.87
intertidal,3.73
intertidal,3.35
intertidal,3.26
intertidal,3.3
intertidal,2.88
intertidal,2.71
intertidal,2.62
intertidal,2.19
intertidal,2.4
intertidal,3.34
intertidal,3.27
intertidal,3.04
intertidal,3.82
intertidal,3.39
intertidal,3.64
intertidal,3.69
intertidal,3.35
intertidal,3.09
intertidal,3.18
intertidal,2.65
intertidal,2.27
intertidal,3
intertidal,3.05
intertidal,3.14
intertidal,3.18
intertidal,2.92
intertidal,3.65
intertidal,3.13
intertidal,3.77
intertidal,4.59
intertidal,4.29
intertidal,3.95
intertidal,1.74
intertidal,1.84
intertidal,1.55
intertidal,1.45
intertidal,1.55
intertidal,1.74
intertidal,2.03
intertidal,2.13
intertidal,2.04
intertidal,1.65
intertidal,1.95
intertidal,1.66
intertidal,1.27
intertidal,1.17
intertidal,0.97
intertidal,1.07
intertidal,0.59
intertidal,0.78
intertidal,0.78
intertidal,1.66
intertidal,1.47
intertidal,1.48
intertidal,1.86
intertidal,2.16
intertidal,1.97
subtidal,1.41
subtidal,1.01
subtidal,1.21
subtidal,1.72
subtidal,1.41
subtidal,1.62
subtidal,1.82
subtidal,1.42
subtidal,1.11
subtidal,1.82
subtidal,1.62
subtidal,2.03
subtidal,1.72
subtidal,3.22
subtidal,1.91
subtidal,1.51
subtidal,2.81
subtidal,1.72
subtidal,1.22
subtidal,1.32
subtidal,1.12
subtidal,1.12
subtidal,0.81
subtidal,1.52
subtidal,1.32
subtidal,1.11
subtidal,1.11
subtidal,1.01
subtidal,0.4
subtidal,1.09
subtidal,0.9
subtidal,1.51
subtidal,1.81
subtidal,1.41
subtidal,1.31
subtidal,0.71
subtidal,1.41
subtidal,0.71
subtidal,0.7
subtidal,1.21
subtidal,1.21
subtidal,1.92
subtidal,1.91
subtidal,1.1
subtidal,1.29
subtidal,0.8
subtidal,1.61
subtidal,1.4
subtidal,0.81
subtidal,1.71
subtidal,1.01
subtidal,1.22
subtidal,2.81
subtidal,2.23
subtidal,1.83
subtidal,1.62
subtidal,0.91
subtidal,0.4
subtidal,1.31
subtidal,1.42
subtidal,0.6
subtidal,0.81
subtidal,0.81
subtidal,1.63
subtidal,1.23
subtidal,1.32
subtidal,1.42
subtidal,2.14
subtidal,1.33
subtidal,1.83
subtidal,1.11
subtidal,1.01
subtidal,0.71
subtidal,0.71
subtidal,0.91
subtidal,1.41
subtidal,0.7
subtidal,1
subtidal,0.9
subtidal,0.9
subtidal,0.3
subtidal,0.8
subtidal,1.11
subtidal,0.9
subtidal,1.11
subtidal,0.7
subtidal,0.4
subtidal,0.5
subtidal,0.8
subtidal,0.8
subtidal,0.9
subtidal,1
subtidal,0.9
subtidal,0.49
subtidal,0.59
subtidal,1.29
subtidal,0.69
subtidal,0.4
subtidal,0.59
subtidal,0.59
subtidal,0.29
subtidal,0.29
subtidal,0.69
subtidal,0.39
subtidal,0.59
subtidal,0.49
subtidal,0.59
subtidal,0.59
subtidal,0.49
subtidal,1.09
subtidal,1.29
subtidal,1.38
subtidal,0.88
subtidal,0.29
subtidal,0.3
subtidal,0.79
subtidal,0.59
subtidal,0.89
subtidal,0.78
subtidal,0.78
subtidal,1.08
subtidal,1.18
subtidal,1.08
subtidal,1.08
subtidal,1.08
subtidal,0.98
subtidal,0.88
subtidal,0.78
subtidal,0.78
subtidal,0.68
subtidal,0.68
subtidal,0.29
subtidal,0.78
subtidal,0.88
subtidal,0.68
subtidal,0.59
subtidal,1.09
subtidal,1.29
subtidal,0.79
subtidal,0.79
subtidal,0.69
subtidal,0.59
subtidal,0.69
subtidal,0.98
subtidal,0.69
subtidal,0.59
subtidal,0.78
subtidal,0.59
subtidal,0.88
subtidal,0.88
subtidal,0.78
subtidal,0.69
subtidal,0.49
subtidal,0.68
subtidal,0.58
subtidal,0.49
subtidal,0.39
subtidal,0.68
subtidal,0.97
subtidal,0.97
subtidal,1.17
subtidal,0.97
subtidal,0.97
subtidal,0.58
subtidal,0.87
subtidal,0.78
subtidal,1.16
subtidal,0.77
subtidal,0.58
subtidal,0.87
subtidal,0.68
subtidal,0.68
subtidal,0.58
subtidal,1.35
subtidal,0.48
subtidal,1.26
subtidal,0.87
subtidal,1.06
subtidal,1.07
subtidal,0.29
subtidal,0.97
subtidal,0.58
subtidal,0.49
subtidal,0.97
subtidal,1.36
subtidal,0.97
subtidal,0.87
subtidal,0.96
subtidal,1.35
subtidal,1.06
subtidal,1.16
subtidal,0.87
subtidal,0.96
subtidal,1.36
subtidal,1.55
subtidal,1.16
subtidal,0.67
subtidal,0.58
subtidal,0.77
subtidal,0.86
subtidal,1.05
subtidal,1.25
subtidal,0.77
subtidal,1.35
subtidal,0.77
subtidal,1.06
subtidal,1.16
subtidal,0.96
subtidal,1.07
subtidal,0.97
subtidal,1.16
subtidal,1.07
subtidal,1.07
subtidal,1.26
subtidal,1.07
subtidal,1.17
subtidal,1.16
subtidal,1.17
subtidal,0.87
subtidal,1.25
subtidal,0.87
subtidal,0.87
subtidal,1.26
subtidal,1.16
subtidal,0.67
subtidal,0.77
subtidal,1.16
subtidal,0.77
subtidal,0.87
subtidal,1.16
subtidal,1.07
subtidal,1.07
subtidal,1.26
subtidal,1.16
subtidal,0.96
subtidal,0.87
subtidal,1.06
subtidal,0.97
subtidal,0.68
subtidal,1.06
subtidal,1.36
subtidal,1.06
subtidal,1.06
subtidal,0.97
subtidal,0.96
subtidal,1.25
subtidal,0.87
subtidal,0.87
subtidal,0.67
subtidal,0.87
subtidal,0.87
subtidal,0.58
subtidal,0.77
subtidal,0.38
subtidal,0.49
subtidal,0.49
subtidal,0.49
subtidal,0.97
subtidal,1.46
subtidal,0.98
subtidal,1.28
subtidal,1.85
subtidal,2.06
subtidal,1.86
