"BaseGroup","ColonyID","Control","Heated","ChangeRate"
"IT","1",0.653,0.582,-10.8728943338438
"IT","2",0.595,0.594,-0.168067226890756
"IT","3",0.622,0.57,-8.36012861736335
"IT","4",0.601,0.571,-4.99168053244593
"IT","5",0.613,0.564,-7.99347471451877
"IT","6",0.622,0.568,-8.68167202572348
"IT","7",0.607,0.588,-3.13014827018122
"IT","8",0.651,0.578,-11.2135176651306
"IT","9",0.609,0.576,-5.41871921182267
"IT","10",0.642,0.583,-9.19003115264798
"IT","11",0.604,0.551,-8.77483443708608
"IT","12",0.607,0.563,-7.24876441515651
"IT","13",0.62,0.567,-8.5483870967742
"IT","14",0.622,0.583,-6.27009646302251
"IT","15",0.581,0.549,-5.5077452667814
"IT","16",0.68,0.572,-15.8823529411765
"IT","17",0.57,0.564,-1.05263157894737
"IT","18",0.577,0.565,-2.07972270363952
"IT","19",0.65,0.511,-21.3846153846154
"IT","20",0.601,0.572,-4.8252911813644
"IT","21",0.6,0.571,-4.83333333333334
"IT","22",0.598,0.558,-6.68896321070233
"IT","23",0.619,0.593,-4.20032310177706
"IT","24",0.628,0.596,-5.09554140127389
"IT","25",0.66,0.569,-13.7878787878788
"IT","26",0.636,0.576,-9.43396226415095
"IT","27",0.603,0.548,-9.12106135986732
"IT","28",0.634333,0.580667,-8.46022514988184
"IT","29",0.612333,0.587,-4.13712800061405
"IT","30",0.642333,0.593,-7.68028421395134
"IT","31",0.614333,0.595667,-3.03841727532138
"IT","32",0.636,0.574333,-9.69606918238994
"IT","33",0.621333,0.582333,-6.27682740173144
"ST","1",0.719,0.445,-38.1084840055633
"ST","2",0.618,0.115,-81.3915857605178
"ST","3",0.638,0.164,-74.294670846395
"ST","4",0.62,0.138,-77.741935483871
"ST","5",0.635,0.214,-66.2992125984252
"ST","6",0.649,0.53,-18.3359013867488
"ST","7",0.581,0.533,-8.26161790017211
"ST","8",0.655,0.007,-98.9312977099237
"ST","9",0.659,0.205,-68.8922610015175
"ST","10",0.524,0.138,-73.6641221374046
"ST","11",0.635,0.158,-75.1181102362205
"ST","12",0.603,0.132,-78.1094527363184
"ST","13",0.642,0.485,-24.4548286604361
"ST","14",0.609,0.537,-11.8226600985222
"ST","15",0.632,0.185,-70.7278481012658
"ST","16",0.668,0.133,-80.0898203592814
"ST","17",0.668,0.265,-60.3293413173653
"ST","18",0.63,0.204,-67.6190476190476
"ST","19",0.621,0.167,-73.1078904991948
"ST","20",0.6,0.55,-8.33333333333332
"ST","21",0.632,0.169,-73.2594936708861
"ST","22",0.623,0.178,-71.4285714285714
"ST","23",0.625,0.198,-68.32
"ST","24",0.596,0.245,-58.8926174496644
"ST","25",0.631,0.204,-67.6703645007924
"ST","26",0.641,0.11,-82.8393135725429
"ST","27",0.632,0.249,-60.6012658227848
"ST","28",0.645,0.213,-66.9767441860465
"ST","29",0.595,0.121,-79.6638655462185
"ST","30",0.623,0.176,-71.7495987158909
"ST","31",0.627667,0.504,-19.7026448737945
"ST","32",0.652333,0.569,-12.7746105133421
"ST","33",0.606,0.26,-57.0957095709571
"ST","34",0.625,0.254,-59.36
"ST","35",0.650333,0.3345,-48.5648121808366
"ST","36",0.681333,0.3425,-49.7308951716708
