SampleID,Group,Habitat
IT1,IT,Intertidal
IT2,IT,Intertidal
IT3,IT,Intertidal
IT4,IT,Intertidal
IT5,IT,Intertidal
IT6,IT,Intertidal
IT7,IT,Intertidal
IT8,IT,Intertidal
IT9,IT,Intertidal
IT10,IT,Intertidal
IT11,IT,Intertidal
IT12,IT,Intertidal
IT13,IT,Intertidal
IT14,IT,Intertidal
IT15,IT,Intertidal
IT16,IT,Intertidal
IT17,IT,Intertidal
IT18,IT,Intertidal
IT19,IT,Intertidal
IT20,IT,Intertidal
IT21,IT,Intertidal
IT22,IT,Intertidal
IT23,IT,Intertidal
IT24,IT,Intertidal
IT25,IT,Intertidal
IT26,IT,Intertidal
IT27,IT,Intertidal
ST1,ST,Subtidal
ST2,ST,Subtidal
ST3,ST,Subtidal
ST4,ST,Subtidal
ST5,ST,Subtidal
ST6,ST,Subtidal
ST7,ST,Subtidal
ST8,ST,Subtidal
ST9,ST,Subtidal
ST10,ST,Subtidal
ST11,ST,Subtidal
ST12,ST,Subtidal
ST13,ST,Subtidal
ST14,ST,Subtidal
ST15,ST,Subtidal
ST16,ST,Subtidal
ST17,ST,Subtidal
ST18,ST,Subtidal
ST19,ST,Subtidal
ST20,ST,Subtidal
ST21,ST,Subtidal
ST22,ST,Subtidal
ST23,ST,Subtidal
ST24,ST,Subtidal
ST25,ST,Subtidal
ST26,ST,Subtidal
ST27,ST,Subtidal
ST28,ST,Subtidal
ST29,ST,Subtidal
ST30,ST,Subtidal
