"","Bn","P.val","P.adj","Below.LOQ","Taxon","class"
"[Chlorobium] sp. (no genus in NCBI)",0.0175438596491228,1.1144429423005e-14,4.08331894058903e-14,"Y","[Chlorobium] sp. (no genus in NCBI)","Specialist"
"Acanthopleuribacter",0.0461580129929085,1.13636993157897e-13,2.14621620067285e-13,"Y","Acanthopleuribacter","Generalist"
"Acaryochloris",0.0196007259528131,1.32082396024508e-14,4.6533644137865e-14,"Y","Acaryochloris","Specialist"
"Achromatium",0.0526315789473685,1.89794650816942e-13,3.39554492477185e-13,"Y","Achromatium","Generalist"
"Achromobacter",0.649909086441594,0.287743133641137,0.292209213320711,"Y","Achromobacter","Intermediate"
"Acidaminobacter",0.310391363022943,3.48195498592891e-06,3.90866515577314e-06,"Y","Acidaminobacter","Generalist"
"Acidimicrobiaceae bacterium (no genus in NCBI)",0.023411672740554,1.80728409033571e-14,5.25546738650002e-14,"N","Acidimicrobiaceae bacterium (no genus in NCBI)","Specialist"
"Acidimicrobiia bacterium (no genus in NCBI)",0.0729076790336495,9.18671091567944e-13,1.5053715919074e-12,"Y","Acidimicrobiia bacterium (no genus in NCBI)","Generalist"
"Acidobacteriota bacterium (no genus in NCBI)",0.37630966597898,7.95889866229247e-05,8.55675020499988e-05,"N","Acidobacteriota bacterium (no genus in NCBI)","Generalist"
"Acinetobacter",0.117693635938678,2.55240502614862e-11,3.74080480632341e-11,"Y","Acinetobacter","Generalist"
"Actibacterium",0.0487329434697856,1.3943267707284e-13,2.56466530519521e-13,"Y","Actibacterium","Generalist"
"Adonisia",0.0180635636488225,1.16337687643849e-14,4.22878261435579e-14,"Y","Adonisia","Specialist"
"Aeoliella",0.0175438596491228,1.1144429423005e-14,4.08331894058903e-14,"Y","Aeoliella","Specialist"
"Aequorivita",0.493313078962261,0.00666918137023127,0.00689500015251901,"Y","Aequorivita","Generalist"
"Aeromonas",0.165383805922678,6.92133019669664e-10,9.05705494310589e-10,"Y","Aeromonas","Generalist"
