"genus","B","Group","Class"
"Unclassified Micrococcales",0.235894179733018,"IT","Intermediate"
"Unclassified Candidatus Cloacimonadota",0.024784024491344,"IT","Specialist"
"Zobellella",0,"IT","Specialist"
"Unclassified Desulfobulbia",0.125896102774981,"IT","Intermediate"
"Spongiibacter",0.0637280814299773,"IT","Specialist"
"Luteibacter",0.118229572298088,"IT","Intermediate"
"Haemophilus",0,"IT","Specialist"
"Unclassified Budviciaceae",0.211297924893807,"IT","Intermediate"
"Planctomycetaceae bacterium (no genus in NCBI)",0.156223084949898,"IT","Intermediate"
"Unclassified Clostridiaceae",0.164861151646344,"IT","Intermediate"
"Unclassified Candidatus Delongbacteria",0.234445182497744,"IT","Intermediate"
"Unclassified Erysipelotrichaceae",0.217182823237263,"IT","Intermediate"
"Unclassified Chitinibacteraceae",0.0766598908847398,"IT","Specialist"
"Pseudovibrio",0.0692305539627955,"IT","Specialist"
"Caldilineaceae bacterium (no genus in NCBI)",0.170401588273116,"IT","Intermediate"
"Unclassified Neisseriales",0.0166365583995823,"IT","Specialist"
"Marinicauda",0.0763502503445119,"IT","Specialist"
"Cognatishimia",0.100319949031547,"IT","Specialist"
"Unclassified Microcystaceae",0.251031412693432,"IT","Intermediate"
"Unclassified Acholeplasmatales",0,"IT","Specialist"
"Methylobacillus",0.301212429191951,"IT","Intermediate"
"Unclassified Victivallales",0.0756263185301911,"IT","Specialist"
"Unclassified Ilumatobacteraceae",0.245683304710599,"IT","Intermediate"
"Unclassified Candidatus Pelagibacterales",0.225409460933961,"IT","Intermediate"
"Unclassified Chitinophagales",0.0604529015701908,"IT","Specialist"
"Gilvibacter",0.209157978707039,"IT","Intermediate"
"Colwellia",0.285573950480282,"IT","Intermediate"
"Unclassified Yersiniaceae",0.0180995475113122,"IT","Specialist"
"Thioalkalivibrio",0.149762066007785,"IT","Intermediate"
"Parvularcula",0.233323328429437,"IT","Intermediate"
"Fusibacter",0.172660786519319,"IT","Intermediate"
"Nitratireductor",0.135133976571385,"IT","Intermediate"
"Picosynechococcus",0.230482937034223,"IT","Intermediate"
"Unclassified Candidatus Saccharibacteria",0.0557379845690916,"IT","Specialist"
"Unclassified Armatimonadota",0.268957966712323,"IT","Intermediate"
"Unclassified Bacteroidaceae",0.0749821084126288,"IT","Specialist"
"Proteus",0.0328145112284183,"IT","Specialist"
"Unclassified Spirochaetaceae",0.146256126965996,"IT","Intermediate"
"Desulfotignum",0.284048163988171,"IT","Intermediate"
"Unclassified Chloroflexaceae",0.0598403917282317,"IT","Specialist"
"Fibrobacter",0.195487232808159,"IT","Intermediate"
"Unclassified Longimicrobiales",0.288664830347258,"IT","Intermediate"
"Unclassified Ignavibacteriales",0.156322461865064,"IT","Intermediate"
"Unclassified Candidatus Aminicenantes",0.0991362729307643,"IT","Specialist"
"Enterovibrio",0.0682551126112547,"IT","Specialist"
"Citrobacter",0.101386114883328,"IT","Specialist"
"Unclassified Aeromonadales",0.0703272356727795,"IT","Specialist"
"Unclassified Desulfovibrionia",0.0557315513850816,"IT","Specialist"
"Holophagales bacterium (no genus in NCBI)",0.32928912274036,"IT","Intermediate"
"Unclassified Pasteurellales",0.0827087103001817,"IT","Specialist"
"Unclassified Candidatus Cloacimonadaceae",0.250791727400679,"IT","Intermediate"
"Cyclobacteriaceae bacterium (no genus in NCBI)",0.137956638745115,"IT","Intermediate"
"Sinorhizobium",0.107086832195416,"IT","Intermediate"
"Shigella",0.358737579805063,"IT","Intermediate"
"Unclassified Nitrosomonadales",0.109728069628351,"IT","Intermediate"
"Bdellovibrionales bacterium (no genus in NCBI)",0.132970698645658,"IT","Intermediate"
"Unclassified Bacillales",0.134503213272013,"IT","Intermediate"
"Unclassified Alcaligenaceae",0.177402945359283,"IT","Intermediate"
"Ruminococcus",0.22410217419085,"IT","Intermediate"
"Bacteroidales bacterium (no genus in NCBI)",0.342166439146629,"IT","Intermediate"
"Deltaproteobacteria bacterium (no genus in NCBI)",0.0486876891175916,"IT","Specialist"
"Unclassified Francisellaceae",0.202857895670339,"IT","Intermediate"
"Leptolyngbyaceae cyanobacterium (no genus in NCBI)",0.0430447371102178,"IT","Specialist"
"Labilibacter",0.296994429915011,"IT","Intermediate"
"Bacteroidia bacterium (no genus in NCBI)",0.437099934175672,"IT","Intermediate"
"Unclassified Oxalobacteraceae",0.209331529533438,"IT","Intermediate"
"Marinobacter",0.189901152974598,"IT","Intermediate"
"Unclassified Verrucomicrobiia",0.147755035995637,"IT","Intermediate"
"Unclassified Geminicoccales",0.0463090053645059,"IT","Specialist"
"Unclassified Enterococcaceae",0.40488263615128,"IT","Intermediate"
"Henriciella",0.188352478323652,"IT","Intermediate"
"Unclassified Geovibrionaceae",0.37829171258469,"IT","Intermediate"
"Desulfobacteraceae bacterium (no genus in NCBI)",0.330384675106414,"IT","Intermediate"
"Unclassified Magnetococcales",0.259185340932106,"IT","Intermediate"
"Unclassified Chromatiaceae",0.024866651074084,"IT","Specialist"
"Unclassified Terriglobia",0.10519825153573,"IT","Intermediate"
"Unclassified Nitrospinota",0.210996881029468,"IT","Intermediate"
"Unclassified Aeromonadaceae",0.113631730822955,"IT","Intermediate"
"Microbulbifer",0.191062677316731,"IT","Intermediate"
"Tritonibacter",0.199682232279731,"IT","Intermediate"
"Pelagibius",0.229453947895987,"IT","Intermediate"
"Methyloceanibacter",0.316295201880917,"IT","Intermediate"
"Halomonas",0.392213909726676,"IT","Intermediate"
"Acidimicrobiia bacterium (no genus in NCBI)",0.128416621225837,"IT","Intermediate"
"Neptuniibacter",0.321309448208923,"IT","Intermediate"
"Unclassified Melioribacteraceae",0.376420351889868,"IT","Intermediate"
"Brucellaceae bacterium (no genus in NCBI)",0.0695337554468576,"IT","Specialist"
"Seonamhaeicola",0.224433204156864,"IT","Intermediate"
"Unclassified Lachnospiraceae",0.179827592075455,"IT","Intermediate"
"Leisingera",0.397986492455214,"IT","Intermediate"
"Agarilytica",0.301906814153074,"IT","Intermediate"
"Puniceibacterium",0.291773372018906,"IT","Intermediate"
"Unclassified Akkermansiaceae",0.360988870807235,"IT","Intermediate"
"Unclassified Acidaminobacteraceae",0.435777976311757,"IT","Intermediate"
"Phocaeicola",0.389111042283641,"IT","Intermediate"
"Porticoccaceae bacterium (no genus in NCBI)",0,"IT","Specialist"
"Unclassified Desulfarculales",0.202915252154921,"IT","Intermediate"
"Candidatus Entotheonella",0.112537283391951,"IT","Intermediate"
"Aeromonas",0,"IT","Specialist"
"Anaplasma",0.181403569366694,"IT","Intermediate"
"Salmonella",0.161449608125197,"IT","Intermediate"
"Unclassified Shewanellaceae",0.226872865534308,"IT","Intermediate"
"Unclassified Sphingomonadales",0.289353131170365,"IT","Intermediate"
"Unclassified Pleioneaceae",0.474439538631428,"IT","Generalist"
"Unclassified Caldilineaceae",0.0181034311900164,"IT","Specialist"
"Virgibacillus",0.283588926170491,"IT","Intermediate"
"Croceitalea",0.261387096191913,"IT","Intermediate"
"Puteibacter",0.502035101418038,"IT","Generalist"
"Unclassified Salinisphaerales",0.242781921887058,"IT","Intermediate"
"Unclassified Syntrophobacteraceae",0.239152501123957,"IT","Intermediate"
"Unclassified Maricaulaceae",0.0751791721503065,"IT","Specialist"
"Eilatimonas",0.245461342177753,"IT","Intermediate"
"Zymobacter",0.235718511134976,"IT","Intermediate"
"Unclassified Sedimentisphaerales",0.240676178964072,"IT","Intermediate"
"Saccharicrinis",0.353955781414139,"IT","Intermediate"
"Unclassified Chitinophagaceae",0.405612396571957,"IT","Intermediate"
"Unclassified Hapalosiphonaceae",0.626760519781232,"IT","Generalist"
"Unclassified Desulfobulbales",0.142169536756751,"IT","Intermediate"
