KO,paths
K00001,Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Lipid metabolism; Fatty acid degradation | Metabolism; Amino acid metabolism; Tyrosine metabolism | Metabolism; Metabolism of cofactors and vitamins; Retinol metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Chloroalkane and chloroalkene degradation | Metabolism; Xenobiotics biodegradation and metabolism; Naphthalene degradation | Metabolism; Xenobiotics biodegradation and metabolism; Metabolism of xenobiotics by cytochrome P450 | Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - cytochrome P450
K00002,Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions | Metabolism; Lipid metabolism; Glycerolipid metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Caprolactam degradation | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome
K00003,"Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism | Metabolism; Amino acid metabolism; Cysteine and methionine metabolism | Metabolism; Amino acid metabolism; Lysine biosynthesis"
K00004,Metabolism; Carbohydrate metabolism; Butanoate metabolism
K00005,Metabolism; Carbohydrate metabolism; Propanoate metabolism | Metabolism; Lipid metabolism; Glycerolipid metabolism
K00006,Metabolism; Lipid metabolism; Glycerophospholipid metabolism | Environmental Information Processing; Signal transduction; MAPK signaling pathway - yeast
K00008,Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions | Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism
K00009,Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism
K00010,Metabolism; Carbohydrate metabolism; Inositol phosphate metabolism | Metabolism; Biosynthesis of other secondary metabolites; Streptomycin biosynthesis
K00011,Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions | Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism | Metabolism; Carbohydrate metabolism; Galactose metabolism | Metabolism; Lipid metabolism; Glycerolipid metabolism | Metabolism; Metabolism of cofactors and vitamins; Folate biosynthesis
K00012,Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions | Metabolism; Carbohydrate metabolism; Ascorbate and aldarate metabolism | Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism
K00013,Metabolism; Amino acid metabolism; Histidine metabolism
K00014,"Metabolism; Amino acid metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis"
K00015,Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism
K00016,Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Carbohydrate metabolism; Propanoate metabolism | Metabolism; Amino acid metabolism; Cysteine and methionine metabolism | Organismal Systems; Endocrine system; Glucagon signaling pathway | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome
K00018,"Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Energy metabolism; Methane metabolism | Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism"
K00019,Metabolism; Carbohydrate metabolism; Butanoate metabolism | Metabolism; Lipid metabolism; Synthesis and degradation of ketone bodies
K00020,"Metabolism; Amino acid metabolism; Valine, leucine and isoleucine degradation"
K00021,Metabolism; Metabolism of terpenoids and polyketides; Terpenoid backbone biosynthesis | Environmental Information Processing; Signal transduction; AMPK signaling pathway | Organismal Systems; Digestive system; Bile secretion
