"path","Metric","IT_mean_SE","ST_mean_SE","statistic","p","effsize","p.adj","p.adj.signif","magnitude"
"Biosynthesis of unsaturated fatty acids","FRI_count","3.788 +/- 0.018","3.557 +/- 0.031",710,4.60489230918251e-07,0.668936948548598,9.20978461836502e-07,"****","large"
"Oxidative phosphorylation","FRI_count","7.642 +/- 0.044","7.386 +/- 0.040",632.5,0.000285367712589219,0.481629722058439,0.000466965347873268,"***","moderate"
"Glutathione metabolism","FRI_count","10.304 +/- 0.065","9.888 +/- 0.077",627.5,0.000380972365045395,0.471656378552416,0.000571458547568092,"***","moderate"
"Chaperones and folding catalysts","FRI_count","8.310 +/- 0.063","7.987 +/- 0.062",596.5,0.00226544571200215,0.405442072755744,0.00313677098584912,"**","moderate"
"Base excision repair","FRI_count","9.402 +/- 0.076","9.013 +/- 0.083",586,0.00388739144900046,0.383472716683047,0.00449339034817037,"**","moderate"
"Carotenoid biosynthesis","FRI_count","2.370 +/- 0.016","2.308 +/- 0.016",579,0.00399412475392922,0.382382045171488,0.00449339034817037,"**","moderate"
"Homologous recombination","FRI_count","14.746 +/- 0.125","14.149 +/- 0.131",586,0.00390304311625253,0.383304773781578,0.00449339034817037,"**","moderate"
"Pentose phosphate pathway","FRI_count","7.478 +/- 0.074","7.183 +/- 0.069",568,0.00938552964697449,0.345130102070315,0.00993761962620828,"**","moderate"
"Mismatch repair","FRI_count","14.553 +/- 0.129","14.033 +/- 0.135",558.5,0.0144539925280783,0.32500988856421,0.0144539925280783,"*","moderate"
"Glutathione metabolism","FRI_eff","3.700 +/- 0.092","2.480 +/- 0.128",748,4.40305436297811e-08,0.726090590990066,2.16820984801205e-07,"****","large"
"Homologous recombination","FRI_eff","4.600 +/- 0.141","2.842 +/- 0.173",752,3.06292765091771e-08,0.734558119747968,2.16820984801205e-07,"****","large"
"Mismatch repair","FRI_eff","4.508 +/- 0.132","2.994 +/- 0.150",747,4.81824410669345e-08,0.723973708800591,2.16820984801205e-07,"****","large"
"Oxidative phosphorylation","FRI_eff","3.016 +/- 0.074","2.105 +/- 0.093",753,2.79552100020011e-08,0.736675001937443,2.16820984801205e-07,"****","large"
"Biosynthesis of unsaturated fatty acids","FRI_eff","2.099 +/- 0.028","1.614 +/- 0.060",741,8.23064873735897e-08,0.711272415663738,2.46919462120769e-07,"****","large"
"Chaperones and folding catalysts","FRI_eff","3.157 +/- 0.075","2.335 +/- 0.087",741,8.23064873735897e-08,0.711272415663738,2.46919462120769e-07,"****","large"
"Base excision repair","FRI_eff","3.359 +/- 0.081","2.453 +/- 0.098",737,1.17033435406856e-07,0.702804886905837,3.0094311961763e-07,"****","large"
"Pentose phosphate pathway","FRI_eff","2.863 +/- 0.066","2.232 +/- 0.065",727,2.77311190197726e-07,0.681636065011083,6.23950177944884e-07,"****","large"
"Carotenoid biosynthesis","FRI_eff","1.619 +/- 0.023","1.483 +/- 0.016",667,2.92379747077773e-05,0.554623133642558,5.26283544739992e-05,"****","large"
