"path","n_IT","n_ST","median_IT","median_ST","p","median_IT_eff","median_ST_eff","p_eff","diff_median","direction","p.adj","p_eff.adj","signif_BH"
"African trypanosomiasis",27,30,6,5,4.92233396274523e-08,2.36058730353767,1.71022681222839,8.99113573857176e-08,1,"IT>ST",7.20245649312081e-06,3.53817841564167e-07,"****"
"Caprolactam degradation",27,30,4,3.59090909090909,8.99495594743764e-08,1.83000163449773,1.49040444954482,5.69489819530213e-09,0.409090909090909,"IT>ST",7.20245649312081e-06,1.72880838071672e-07,"****"
"Alcoholism",27,30,3.66666666666667,3.33333333333333,9.02563470315891e-08,2.09399766425829,1.6423028692395,2.15991096343646e-09,0.333333333333333,"IT>ST",7.20245649312081e-06,1.23105074119463e-07,"****"
"Translation",27,30,2.66666666666667,2.33333333333333,3.69658108585858e-08,1.76709110963111,1.59569470753265,0.000333245110053012,0.333333333333333,"IT>ST",7.20245649312081e-06,0.000446779721679906,"****"
"Styrene degradation",27,30,2.47058823529412,2.35294117647059,6.8968277804112e-08,1.51050161603061,1.30828238794816,8.23064873735897e-08,0.117647058823529,"IT>ST",7.20245649312081e-06,3.39614146929861e-07,"****"
"Limonene and pinene degradation",27,30,6.85714285714286,6.42857142857143,1.80322843268698e-07,2.5550969319969,1.76291386080196,4.40305436297811e-08,0.428571428571428,"IT>ST",1.19914690773684e-05,2.694412822822e-07,"****"
"Tyrosine metabolism",27,30,5.15151515151515,4.94117647058824,2.53493250038837e-07,2.26284099021852,1.68505041754083,1.10608000400264e-08,0.210338680926916,"IT>ST",1.44491152522137e-05,1.80801539115816e-07,"****"
"Geraniol degradation",27,30,4.66666666666667,4.33333333333333,3.28846340643017e-07,2.1088636933464,1.61265888128689,9.81945429777794e-08,0.333333333333334,"IT>ST",1.64012112395705e-05,3.59764489358243e-07,"****"
"Type I diabetes mellitus",27,30,16,15,3.99699586599241e-07,5.15223221704852,3.2511579514556,1.17033435406856e-07,1,"IT>ST",1.77200150058997e-05,3.9164732321192e-07,"****"
"Biosynthesis of unsaturated fatty acids",27,30,3.85714285714286,3.57142857142857,4.60489230918251e-07,2.10519709202973,1.50834101183949,8.23064873735897e-08,0.285714285714286,"IT>ST",1.83735203136382e-05,3.39614146929861e-07,"****"
"Chagas disease (American trypanosomiasis)",27,30,3.4,3.2,6.63207250830789e-07,1.74932307439649,1.49169982394863,1.00675769991944e-08,0.2,"IT>ST",2.40563357346804e-05,1.80801539115816e-07,"****"
"Other glycan degradation",27,30,7.36363636363636,7,7.6425553068004e-07,3.0558009746623,2.5097337472788,7.36071855913251e-06,0.363636363636363,"IT>ST",2.54114963951113e-05,1.15863162504864e-05,"****"
"Bacterial toxins",27,30,3.78571428571429,3.57142857142857,8.48121612847062e-07,1.85961992873911,1.51103373205159,4.0226429032621e-08,0.214285714285714,"IT>ST",2.60308095019983e-05,2.694412822822e-07,"****"
"Bacterial chemotaxis",27,30,12.3333333333333,11.6725,1.38232672344439e-06,3.86812557074407,2.73159012796772,4.81824410669345e-08,0.660833333333334,"IT>ST",3.93963116181652e-05,2.694412822822e-07,"****"
"Pathogenic Escherichia coli infection",27,30,1.5,1.25,1.49938725324677e-06,1.11048862076349,1.10876691385758,0.614651703980913,0.25,"IT>ST",3.9883700936364e-05,0.673271678656207,"****"
"Synthesis and degradation of ketone bodies",27,30,7.16666666666667,6.91666666666667,1.86428459865882e-06,2.7506550383977,1.84575988262973,1.13561761049018e-06,0.250000000000001,"IT>ST",4.64905971790544e-05,2.11683107218564e-06,"****"
"Propanoate metabolism",27,30,6.63492063492064,6.38095238095238,2.04584873004993e-06,2.68747701726875,1.94594292874292,1.7639009792731e-08,0.253968253968254,"IT>ST",4.80172731347013e-05,2.27169065512445e-07,"****"
"Bladder cancer",27,30,7,6,2.61917393887545e-06,2.98461797483447,2.17439603143449,4.99841647010604e-07,1,"IT>ST",5.80583556450725e-05,1.06750100492214e-06,"****"
"GABAergic synapse",27,30,7,6.5,3.49923678554415e-06,2.7152778711797,1.88736942117814,3.18081079218444e-06,0.5,"IT>ST",6.98097738716057e-05,5.36446264554915e-06,"****"
"Cationic antimicrobial peptide (CAMP) resistance",27,30,6.73076923076923,6.41230769230769,3.48785783654188e-06,2.54821846751833,1.88831617206351,1.17033435406856e-07,0.318461538461539,"IT>ST",6.98097738716057e-05,3.9164732321192e-07,"****"
"Secondary metabolism",27,30,3.75,3.5,3.76252572707925e-06,2.11840611287609,1.59862114101969,9.81945429777794e-08,0.25,"IT>ST",7.14879888145057e-05,3.59764489358243e-07,"****"
"Salmonella infection",27,30,4.88888888888889,4.55555555555556,3.94556112143575e-06,2.49061225219686,2.08301905901659,3.71321422542215e-06,0.333333333333334,"IT>ST",7.15581312478574e-05,6.1645158039235e-06,"****"
"Indole alkaloid biosynthesis",27,30,7,6,7.61108333956378e-06,3.77650058622162,2.68252229210556,8.90098522237483e-07,1,"IT>ST",9.7962008144708e-05,1.71172792737977e-06,"****"
"Amphetamine addiction",27,30,6.5,6,7.61108333956378e-06,2.71765119476054,2.03235517414412,2.38247205777108e-09,0.5,"IT>ST",9.7962008144708e-05,1.23105074119463e-07,"****"
