"genus","KO"
"Unclassified Alphaproteobacteria","K01520"
"Unclassified Alphaproteobacteria","K11587"
"Cohaesibacter","K01520"
"Cohaesibacter","K16196"
"Unclassified Pseudomonadota","K01520"
"Unclassified Spirochaetales","K16196"
"Unclassified Pseudomonadota","K01191"
"Cohaesibacter","K03686"
"Unclassified Phycisphaerales","K13116"
"Unclassified Flavobacteriaceae","K01207"
"Unclassified Pseudomonadota","K06712"
"Unclassified Cohaesibacteraceae","K03686"
"Unclassified Pseudomonadota","K03686"
"Unclassified Spirochaetales","K06592"
"Cohaesibacter","K11595"
"Unclassified Spirochaetales","K21871"
"Unclassified Pseudomonadota","K00102"
"Cohaesibacter","K19876"
"Unclassified Pseudomonadota","K05163"
"Cohaesibacter","K01191"
"Unclassified Cohaesibacteraceae","K06712"
"Unclassified Spirochaetales","K03686"
"Unclassified Alphaproteobacteria","K01191"
"Unclassified Hyphomicrobiales","K01520"
"Unclassified Spirochaetia","K16196"
"Allomuricauda","K16264"
"Allomuricauda","K01808"
"Unclassified Flavobacteriaceae","K07086"
"Unclassified Alphaproteobacteria","K03438"
"Unclassified Alphaproteobacteria","K01749"
"Cohaesibacter","K11585"
"Unclassified Acidobacteriota","K02902"
"Unclassified Acidobacteriota","K00951"
"Unclassified Pseudomonadota","K07480"
"Unclassified Cohaesibacteraceae","K01520"
"Unclassified Spirochaetales","K13116"
"Cohaesibacter","K06712"
"Unclassified Spirochaetales","K11583"
"Unclassified Hyphomicrobiales","K01191"
"Unclassified Spirochaetales","K11595"
"Unclassified Flavobacteriaceae","K01817"
"Unclassified Gammaproteobacteria","K03574"
"Unclassified Spirochaetota","K15685"
"Allomuricauda","K07004"
"Unclassified Colwelliaceae","K13634"
"Mesomycoplasma","K02990"
"Mesomycoplasma","K03111"
"Unclassified Spirochaetales","K01520"
"Unclassified Spirochaetales","K00102"
"Unclassified Rhodobacterales","K07406"
"Cohaesibacter","K15255"
"Unclassified Gammaproteobacteria","K03427"
"Endozoicomonas","K01153"
"Unclassified Alphaproteobacteria","K03703"
"Unclassified Alphaproteobacteria","K03551"
"Unclassified Pseudomonadaceae","K07485"
"Unclassified Alphaproteobacteria","K16898"
"Unclassified Mycoplasmatota","K06223"
"Streptococcus","K09952"
"Unclassified Candidatus Omnitrophota","K20367"
"Unclassified Pseudomonadales","K19876"
"Unclassified Schleiferiaceae","K04565"
"Unclassified Pseudomonadota","K21871"
"Unclassified Rhodobacterales","K01641"
"Unclassified Gammaproteobacteria","K00984"
"Unclassified Hyphomicrobiales","K05039"
"Cohaesibacter","K13116"
"Unclassified Cohaesibacteraceae","K13116"
"Pseudomonas","K09952"
"Unclassified Flavobacteriales","K04565"
"Unclassified Gammaproteobacteria","K02335"
