"Sample","Habitat","Treatment","Stability_distance"
"IT-C1","Intertidal","Control",0.187491515031625
"IT-C2","Intertidal","Control",0.172167981416124
"IT-C3","Intertidal","Control",0.248245832980756
"IT-C4","Intertidal","Control",0.191801219698982
"IT-C5","Intertidal","Control",0.367381409172963
"IT-C6","Intertidal","Control",0.5115306741756
"IT-H1","Intertidal","Heat",0.290400874047457
"IT-H2","Intertidal","Heat",0.263176310768654
"IT-H3","Intertidal","Heat",0.271893191424397
"IT-H4","Intertidal","Heat",0.269751239899131
"IT-H5","Intertidal","Heat",0.300505323423846
"IT-H6","Intertidal","Heat",0.282891692912565
"ST-C1","Subtidal","Control",0.405713608774116
"ST-C2","Subtidal","Control",0.435286181048209
"ST-C3","Subtidal","Control",0.59787827099348
"ST-C4","Subtidal","Control",0.364437333663861
"ST-C5","Subtidal","Control",0.380377300863665
"ST-C6","Subtidal","Control",0.497168660102279
"ST-H1","Subtidal","Heat",0.455653273597147
"ST-H2","Subtidal","Heat",0.481792219840814
"ST-H3","Subtidal","Heat",0.375719704617333
"ST-H4","Subtidal","Heat",0.395985999703838
"ST-H5","Subtidal","Heat",0.435699352811969
"ST-H6","Subtidal","Heat",0.53601080487451
