"Sample","Habitat","Treatment","Stability_distance"
"IT-C1","Intertidal","Control",0.178676422811529
"IT-C2","Intertidal","Control",0.163178641036977
"IT-C3","Intertidal","Control",0.20079971228414
"IT-C4","Intertidal","Control",0.171484218861877
"IT-C5","Intertidal","Control",0.367145599146203
"IT-C6","Intertidal","Control",0.448636839478766
"IT-H1","Intertidal","Heat",0.271178927392898
"IT-H2","Intertidal","Heat",0.242985729449296
"IT-H3","Intertidal","Heat",0.251870211273211
"IT-H4","Intertidal","Heat",0.250722133103973
"IT-H5","Intertidal","Heat",0.244125298213415
"IT-H6","Intertidal","Heat",0.269039134186699
"ST-C1","Subtidal","Control",0.225433899463602
"ST-C2","Subtidal","Control",0.306194821000564
"ST-C3","Subtidal","Control",0.351382426925186
"ST-C4","Subtidal","Control",0.241224982356659
"ST-C5","Subtidal","Control",0.227445234935799
"ST-C6","Subtidal","Control",0.32854601489235
"ST-H1","Subtidal","Heat",0.241074869749267
"ST-H2","Subtidal","Heat",0.327183756117571
"ST-H3","Subtidal","Heat",0.245078357124694
"ST-H4","Subtidal","Heat",0.272595489217589
"ST-H5","Subtidal","Heat",0.308645333928444
"ST-H6","Subtidal","Heat",0.285649573436592
