genus,IT1,IT9,IT10,IT11,IT12,IT13,IT14,IT15,IT16,IT17,IT18,IT-C1,IT-H1,IT2,IT19,IT20,IT21,IT22,IT23,IT24,IT25,IT26,IT27,IT-C2,IT-H2,IT3,IT-C3,IT-H3,IT-C4,IT-H4,IT4,IT-C5,IT-H5,IT5,IT-C6,IT-H6,IT6,IT7,IT8,ST1,ST10,ST11,ST12,ST13,ST14,ST15,ST16,ST17,ST18,ST19,ST-C1,ST-H1,ST2,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST-C2,ST-H2,ST3,ST30,ST-C3,ST-H3,ST4,ST-C4,ST-H4,ST5,ST-C5,ST-H5,ST6,ST-C6,ST-H6,ST7,ST8,ST9
[Chlorobium] sp. (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acanthopleuribacter,0,2,4,3,4,1,4,5,3,4,1,0,2,4,8,0,134,6,8,1,10,3,4,0,1,1,2,0,0,2,0,2,4,2,0,6,2,2,0,0,2,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Acaryochloris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achromatium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
Achromobacter,1,5,0,16,3,12,9,10,4,6,14,4,17,13,6,4,6,4,6,14,4,7,9,3,1,19,3,6,5,2,10,27,13,2,6,12,3,13,6,0,8,6,6,1,12,4,5,6,0,2,29,11,6,1,7,0,6,8,4,7,16,4,4,0,0,1,2,2,4,5,2,5,7,10,35,3,5,3,1,2,5
Acidaminobacter,0,5,0,3,1,14,0,9,2,0,15,0,8,0,2,41,5,3,1,7,1,2,0,1,3,2,0,3,4,34,7,510,27,6,40,31,1,3,0,0,2,0,9,5,4,9,2,2,2,2,86,16,0,2,8,4,1,2,9,7,6,2,3,3,90,0,2,1159,8,8,14,0,2,34,288,2,0,38,2,1,2
Acidimicrobiaceae bacterium (no genus in NCBI),1,1,7,5,0,1,49,8,3,18,11,0,0,3,12,49,60,21,2,7,15,3,2,2,3,4,0,1,2,1,11,7,1,1,0,4,3,10,2212,5,0,1,0,0,0,0,2,0,0,3,0,0,0,3,0,13,0,0,1,0,0,8,0,0,0,1,0,0,0,2,0,0,0,5,3,0,0,0,0,0,0
Acidimicrobiia bacterium (no genus in NCBI),0,0,4,0,1,5,5,0,0,0,0,0,0,0,0,0,8,2,0,2,0,1,2,0,0,0,0,0,0,0,0,4,2,0,2,0,0,0,36,3,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Acidobacteriota bacterium (no genus in NCBI),15,17,10,10,8,26,8,7,7,7,21,0,14,14,21,87,474,203,11,29,12,1,7,6,6,14,4,8,8,8,19,18,15,9,4,4,20,26,408,98,41,260,303,39,134,52,365,261,155,27,29,8,38,30,304,20,3,12,146,312,453,433,37,8,2,103,139,0,8,303,18,9,215,22,5,4,10,1,14,26,164
Acinetobacter,3,5,10,5,8,4,6,6,7,4,83,0,0,11,311,6,0,68,0,80,1,78,106,0,2,14,0,0,0,3,4,0,3,4,1,3,2,2,6,5,0,6,0,0,0,2,2,0,0,2,35,12,2,0,27,10,2,4,14,0,8,8,0,3,0,6,14,43,2,2,0,0,0,11,4,0,1,1,1,0,0
