"L1","L2","IT_mean","ST_mean","IT_se","ST_se","p","p.adj","signif","direction"
"Cellular Processes","Cell growth and death",63.2575757575758,51.8939393939394,5.82151498589034,4.88915236371593,0.228950681414595,0.293590234478121,"ns","IT>ST"
"Cellular Processes","Cell motility",65.2542372881356,49.4350282485876,7.51327466417,6.58501176184247,0.148115795917625,0.26331310771568,"ns","IT>ST"
"Cellular Processes","Cellular community - eukaryotes",77.0833333333333,70.8333333333333,5.01733107449679,6.18016540591305,0.4975628878432,0.520179382745164,"ns","IT>ST"
"Cellular Processes","Cellular community - prokaryotes",74.5736434108527,57.8294573643411,6.26747901404663,8.01806745324299,0.0909832252700664,0.236889273203299,"ns","IT>ST"
"Cellular Processes","Transport and catabolism",77.3584905660377,57.2327044025157,4.69807531999575,8.50336794020406,0.0646100891295447,0.236889273203299,"ns","IT>ST"
"Environmental Information Processing","Membrane transport",74.1776315789474,56.9627192982456,5.54530858050307,7.02974029225014,0.0926958025578126,0.236889273203299,"ns","IT>ST"
"Environmental Information Processing","Signal transduction",73.3640081799591,57.0040899795501,5.9456561092091,7.94370612194824,0.229766270461138,0.293590234478121,"ns","IT>ST"
"Environmental Information Processing","Signaling molecules and interaction",64.5833333333333,68.75,5.01733107449679,4.26956281914983,0.734485675703742,0.734485675703742,"ns","ST>=IT"
"Genetic Information Processing","Folding, sorting and degradation",56.9444444444444,48.8425925925926,6.40497170574862,4.2037954795007,0.335822098321342,0.386195413069543,"ns","IT>ST"
"Genetic Information Processing","Replication and repair",64.4927536231884,46.6183574879227,5.81819832697689,4.82729332627471,0.0646100891295447,0.236889273203299,"ns","IT>ST"
"Genetic Information Processing","Transcription",75.9259259259259,72.2222222222222,2.34242789642103,4.53609211626515,0.4591481427617,0.502876537310433,"ns","IT>ST"
"Genetic Information Processing","Translation",55.0653594771242,44.1176470588235,7.41657288911967,2.58149250433092,0.172732829130551,0.266011051426267,"ns","IT>ST"
"Metabolism","Amino acid metabolism",69.2552225249773,52.6793823796549,6.22042325645684,6.55148263100109,0.0926958025578126,0.236889273203299,"ns","IT>ST"
"Metabolism","Biosynthesis of other secondary metabolites",67.4863387978142,46.9945355191257,6.57670194326427,7.50844329500226,0.0921251036917092,0.236889273203299,"ns","IT>ST"
"Metabolism","Carbohydrate metabolism",75.2699055330634,55.8029689608637,5.52781506128354,7.10536248141141,0.0926958025578126,0.236889273203299,"ns","IT>ST"
"Metabolism","Energy metabolism",68.2359307359307,53.030303030303,6.9389513703315,6.30999716059473,0.229766270461138,0.293590234478121,"ns","IT>ST"
"Metabolism","Glycan biosynthesis and metabolism",69.6296296296296,50.3703703703704,5.50096636977284,7.58852646315674,0.0771276378156315,0.236889273203299,"ns","IT>ST"
"Metabolism","Lipid metabolism",74.2630385487528,57.7097505668934,5.31430460102402,7.57603803731887,0.128205275030392,0.26331310771568,"ns","IT>ST"
"Metabolism","Metabolism of cofactors and vitamins",68.7793427230047,50.3521126760563,7.01500990055388,6.19424813129523,0.0926958025578126,0.236889273203299,"ns","IT>ST"
"Metabolism","Metabolism of other amino acids",66.504854368932,55.0161812297735,8.02465018088978,6.78994942871594,0.260658123811313,0.315533518297905,"ns","IT>ST"
"Metabolism","Metabolism of terpenoids and polyketides",77.5297619047619,59.672619047619,6.13160248518127,9.88995752875789,0.108694580796525,0.249997535832007,"ns","IT>ST"
"Metabolism","Nucleotide metabolism",65.2454780361757,50.9043927648579,7.03796472040542,4.96231685133139,0.148829147839297,0.26331310771568,"ns","IT>ST"
"Metabolism","Xenobiotics biodegradation and metabolism",74.2990654205607,60.1246105919003,4.99657786054375,8.22807427749242,0.173485468321478,0.266011051426267,"ns","IT>ST"
