"L1","L2","n_ko","FRR","Sample","Habitat"
"Cellular Processes","Cell growth and death",44,63.6363636363636,"IT-H1","Intertidal"
"Cellular Processes","Cell motility",59,64.4067796610169,"IT-H1","Intertidal"
"Cellular Processes","Cellular community - eukaryotes",8,75,"IT-H1","Intertidal"
"Cellular Processes","Cellular community - prokaryotes",215,79.0697674418605,"IT-H1","Intertidal"
"Cellular Processes","Transport and catabolism",53,84.9056603773585,"IT-H1","Intertidal"
"Environmental Information Processing","Membrane transport",304,75.6578947368421,"IT-H1","Intertidal"
"Environmental Information Processing","Signal transduction",326,76.9938650306748,"IT-H1","Intertidal"
"Environmental Information Processing","Signaling molecules and interaction",8,75,"IT-H1","Intertidal"
"Genetic Information Processing","Folding, sorting and degradation",72,59.7222222222222,"IT-H1","Intertidal"
"Genetic Information Processing","Replication and repair",69,63.768115942029,"IT-H1","Intertidal"
"Genetic Information Processing","Transcription",18,77.7777777777778,"IT-H1","Intertidal"
"Genetic Information Processing","Translation",102,50.9803921568627,"IT-H1","Intertidal"
"Metabolism","Amino acid metabolism",367,74.3869209809264,"IT-H1","Intertidal"
"Metabolism","Biosynthesis of other secondary metabolites",61,72.1311475409836,"IT-H1","Intertidal"
"Metabolism","Carbohydrate metabolism",494,78.9473684210526,"IT-H1","Intertidal"
"Metabolism","Energy metabolism",308,69.4805194805195,"IT-H1","Intertidal"
"Metabolism","Glycan biosynthesis and metabolism",90,72.2222222222222,"IT-H1","Intertidal"
"Metabolism","Lipid metabolism",147,78.2312925170068,"IT-H1","Intertidal"
"Metabolism","Metabolism of cofactors and vitamins",284,73.943661971831,"IT-H1","Intertidal"
"Metabolism","Metabolism of other amino acids",103,75.7281553398058,"IT-H1","Intertidal"
"Metabolism","Metabolism of terpenoids and polyketides",112,81.25,"IT-H1","Intertidal"
"Metabolism","Nucleotide metabolism",129,72.093023255814,"IT-H1","Intertidal"
"Metabolism","Xenobiotics biodegradation and metabolism",107,77.5700934579439,"IT-H1","Intertidal"
"Cellular Processes","Cell growth and death",44,77.2727272727273,"IT-H2","Intertidal"
"Cellular Processes","Cell motility",59,84.7457627118644,"IT-H2","Intertidal"
"Cellular Processes","Cellular community - eukaryotes",8,87.5,"IT-H2","Intertidal"
"Cellular Processes","Cellular community - prokaryotes",215,86.9767441860465,"IT-H2","Intertidal"
"Cellular Processes","Transport and catabolism",53,90.5660377358491,"IT-H2","Intertidal"
"Environmental Information Processing","Membrane transport",304,87.5,"IT-H2","Intertidal"
"Environmental Information Processing","Signal transduction",326,85.2760736196319,"IT-H2","Intertidal"
"Environmental Information Processing","Signaling molecules and interaction",8,75,"IT-H2","Intertidal"
"Genetic Information Processing","Folding, sorting and degradation",72,76.3888888888889,"IT-H2","Intertidal"
