"Sample","Group","Habitat","Generalist_Richness","Global_FRI","Global_FRI_eff","Retention"
"IT1","IT","Intertidal",136,4.82636467703246,2.0627198397438,89.1271056661562
"IT10","IT","Intertidal",135,4.63897719120406,1.9807672145269,90.809968847352
"IT11","IT","Intertidal",139,4.99420215856439,2.20517296082415,91.2251655629139
"IT12","IT","Intertidal",139,4.78509346842276,2.16000952777211,92.7512355848435
"IT13","IT","Intertidal",136,4.72444538155443,2.21883324889866,91.4516129032258
"IT14","IT","Intertidal",137,5.0778336078789,2.29701202681583,93.7299035369775
"IT15","IT","Intertidal",134,5.07149560302797,1.50776237743376,94.4922547332186
"IT16","IT","Intertidal",135,5.01320134208278,1.78373440044372,84.1176470588235
"IT17","IT","Intertidal",134,4.80940309811159,2.00665320481568,98.9473684210526
"IT18","IT","Intertidal",134,4.894766886197,2.39206745908848,97.9202772963605
"IT19","IT","Intertidal",132,4.99668187773368,2.01672087619118,78.6153846153846
"IT2","IT","Intertidal",143,4.95342775065014,2.16066231716131,99.8319327731092
"IT20","IT","Intertidal",138,4.80594481704217,2.12785201495453,95.1747088186356
"IT21","IT","Intertidal",133,4.69748336444056,2.0994579871236,95.1666666666667
"IT22","IT","Intertidal",136,4.95751696788349,1.645258429525,93.3110367892977
"IT23","IT","Intertidal",140,4.98987337285837,2.21437972148637,95.7996768982229
"IT24","IT","Intertidal",141,4.73622217062229,2.12194162240281,94.9044585987261
"IT25","IT","Intertidal",136,4.62850652520674,2.08038850473147,86.2121212121212
"IT26","IT","Intertidal",140,4.94822885194097,2.20274865835994,90.566037735849
"IT27","IT","Intertidal",134,4.92246655282625,2.04397512062117,90.8789386401327
"IT3","IT","Intertidal",130,4.63287394278764,1.94461591885643,91.6398713826367
"IT4","IT","Intertidal",135,4.76097302109735,1.96568143412878,95.0083194675541
"IT5","IT","Intertidal",132,4.63665917231167,2.00813364641296,92.0065252854812
"IT6","IT","Intertidal",141,4.81456997011195,2.43283357147496,91.3183279742765
"IT7","IT","Intertidal",134,4.69615390485798,2.05704130577024,96.8698517298188
"IT8","IT","Intertidal",139,4.98765661925696,2.03331658455421,88.7864823348694
"IT9","IT","Intertidal",137,4.99053904353681,2.08554302287872,94.5812807881773
"ST1","ST","Subtidal",116,4.86068103929521,1.64191045714314,61.8915159944367
"ST10","ST","Subtidal",98,4.56887300667244,1.90698560381146,26.3358778625954
"ST11","ST","Subtidal",114,4.80891785773864,1.97027235391887,24.8818897637795
"ST12","ST","Subtidal",114,4.79302073246105,1.552540794328,21.8905472636816
"ST13","ST","Subtidal",111,4.5770898633398,1.75893489151492,75.5451713395639
"ST14","ST","Subtidal",112,4.73545114433421,1.4844482701786,88.1773399014778
"ST15","ST","Subtidal",116,4.90770974754146,1.60749940391907,29.2721518987342
"ST16","ST","Subtidal",117,4.66028621975929,1.66431116336182,19.9101796407186
"ST17","ST","Subtidal",115,4.76120649194948,1.97004005836783,39.6706586826347
"ST18","ST","Subtidal",117,4.8384741537714,1.41504326551045,32.3809523809524
"ST19","ST","Subtidal",116,4.89362255257595,1.3986612676092,26.8921095008052
"ST2","ST","Subtidal",115,4.70561829941097,1.65893041821774,18.6084142394822
"ST20","ST","Subtidal",122,4.79330111810146,1.39835715446674,91.6666666666667
"ST21","ST","Subtidal",104,4.72001143029716,1.79998053481508,26.7405063291139
"ST22","ST","Subtidal",107,4.79204412302732,1.86057152798143,28.5714285714286
"ST23","ST","Subtidal",107,4.67747797120601,1.4114184490311,31.68
"ST24","ST","Subtidal",103,4.39229885747257,1.37033105650522,41.1073825503356
"ST25","ST","Subtidal",115,4.82199415357384,1.44460435617309,32.3296354992076
"ST26","ST","Subtidal",113,4.7677619683029,1.50153020194762,17.1606864274571
"ST27","ST","Subtidal",90,4.37815047122767,1.95213587048301,39.3987341772152
"ST28","ST","Subtidal",105,4.49542747935961,1.68807725506473,33.0232558139535
"ST29","ST","Subtidal",104,4.48616066697412,1.687570032375,20.3361344537815
"ST3","ST","Subtidal",111,4.80935744015538,1.47301945804169,25.705329153605
"ST30","ST","Subtidal",103,4.69939179559623,1.91345156927545,28.2504012841091
"ST4","ST","Subtidal",117,4.89131538938109,1.99838872692702,22.258064516129
"ST5","ST","Subtidal",109,4.39920890082394,1.45212476995681,33.7007874015748
"ST6","ST","Subtidal",121,4.83052202509679,2.12297755760552,81.6640986132512
"ST7","ST","Subtidal",116,4.8984097527775,1.76843053758115,91.7383820998279
"ST8","ST","Subtidal",110,4.71471141444415,1.39532855406085,1.0687022900763
"ST9","ST","Subtidal",106,4.51053121477348,1.41241249338075,31.1077389984825
