"dataset","sample","reads","richness","habitat"
"Genus","IT1",1,1.00000000000006,"Intertidal"
"Genus","IT1",1001,88.8859156329477,"Intertidal"
"Genus","IT1",2001,119.686128385751,"Intertidal"
"Genus","IT1",3001,140.14478978943,"Intertidal"
"Genus","IT1",4001,155.472768903205,"Intertidal"
"Genus","IT1",5001,167.704967949976,"Intertidal"
"Genus","IT1",6001,177.860430514649,"Intertidal"
"Genus","IT1",7001,186.521723846604,"Intertidal"
"Genus","IT1",8001,194.053510161598,"Intertidal"
"Genus","IT1",9001,200.699593217194,"Intertidal"
"Genus","IT1",10001,206.631149980801,"Intertidal"
"Genus","IT1",11001,211.972975125772,"Intertidal"
"Genus","IT1",12001,216.818847219153,"Intertidal"
"Genus","IT1",13001,221.241055590313,"Intertidal"
"Genus","IT1",14001,225.296569254881,"Intertidal"
"Genus","IT1",15001,229.031164416817,"Intertidal"
"Genus","IT1",16001,232.482256066262,"Intertidal"
"Genus","IT1",17001,235.68087954828,"Intertidal"
"Genus","IT1",18001,238.653100775442,"Intertidal"
"Genus","IT1",19001,241.421035397842,"Intertidal"
"Genus","IT1",20001,244.003596659788,"Intertidal"
"Genus","IT1",21001,246.417052966798,"Intertidal"
"Genus","IT1",22001,248.675450668019,"Intertidal"
"Genus","IT1",23001,250.790940372596,"Intertidal"
"Genus","IT1",24001,252.774033336873,"Intertidal"
"Genus","IT1",25001,254.633806321794,"Intertidal"
"Genus","IT1",26001,256.378067668789,"Intertidal"
"Genus","IT1",27001,258.01349342873,"Intertidal"
"Genus","IT1",28001,259.545739670812,"Intertidal"
"Genus","IT1",29001,260.979535236196,"Intertidal"
"Genus","IT1",30001,262.31875792046,"Intertidal"
"Genus","IT1",30538,263,"Intertidal"
"Genus","IT9",1,1.00000000000021,"Intertidal"
"Genus","IT9",1001,81.1933247339299,"Intertidal"
"Genus","IT9",2001,109.145147143001,"Intertidal"
"Genus","IT9",3001,128.818781927874,"Intertidal"
"Genus","IT9",4001,144.328887248452,"Intertidal"
"Genus","IT9",5001,157.18413284386,"Intertidal"
"Genus","IT9",6001,168.149867101125,"Intertidal"
"Genus","IT9",7001,177.686364262016,"Intertidal"
"Genus","IT9",8001,186.099476082936,"Intertidal"
"Genus","IT9",9001,193.605596071767,"Intertidal"
"Genus","IT9",10001,200.364370399219,"Intertidal"
"Genus","IT9",11001,206.497130690309,"Intertidal"
"Genus","IT9",12001,212.098186025894,"Intertidal"
"Genus","IT9",13001,217.242182030653,"Intertidal"
"Genus","IT9",14001,221.989119117851,"Intertidal"
"Genus","IT9",15001,226.387889199087,"Intertidal"
"Genus","IT9",16001,230.478829362813,"Intertidal"
"Genus","IT9",17001,234.295599873789,"Intertidal"
"Genus","IT9",18001,237.866585510481,"Intertidal"
"Genus","IT9",19001,241.215954139386,"Intertidal"
"Genus","IT9",20001,244.364465183756,"Intertidal"
"Genus","IT9",21001,247.330093501179,"Intertidal"
"Genus","IT9",22001,250.128515677205,"Intertidal"
"Genus","IT9",23001,252.773492869298,"Intertidal"
"Genus","IT9",24001,255.277175217954,"Intertidal"
"Genus","IT9",25001,257.650346271717,"Intertidal"
"Genus","IT9",26001,259.902621153026,"Intertidal"
"Genus","IT9",27001,262.042608717128,"Intertidal"
"Genus","IT9",28001,264.078045436238,"Intertidal"
"Genus","IT9",29001,266.015906857714,"Intertidal"
"Genus","IT9",30001,267.862501114302,"Intertidal"
"Genus","IT9",31001,269.623547934916,"Intertidal"
"Genus","IT9",32001,271.304245820663,"Intertidal"
"Genus","IT9",33001,272.90932949194,"Intertidal"
"Genus","IT9",34001,274.443119258876,"Intertidal"
"Genus","IT9",35001,275.909563639694,"Intertidal"
"Genus","IT9",36001,277.312276292726,"Intertidal"
"Genus","IT9",37001,278.654568133362,"Intertidal"
"Genus","IT9",38001,279.939475346714,"Intertidal"
"Genus","IT9",39001,281.169783892833,"Intertidal"
"Genus","IT9",40001,282.348050996972,"Intertidal"
"Genus","IT9",41001,283.476624048884,"Intertidal"
"Genus","IT9",42001,284.55765726643,"Intertidal"
"Genus","IT9",43001,285.59312643272,"Intertidal"
"Genus","IT9",44001,286.584841972742,"Intertidal"
"Genus","IT9",45001,287.534460601384,"Intertidal"
"Genus","IT9",46001,288.443495746407,"Intertidal"
"Genus","IT9",47001,289.313326924917,"Intertidal"
"Genus","IT9",48001,290.145208230979,"Intertidal"
"Genus","IT9",49001,290.940276073994,"Intertidal"
"Genus","IT9",49078,291,"Intertidal"
"Genus","IT10",1,0.999999999999947,"Intertidal"
"Genus","IT10",1001,75.7869297863328,"Intertidal"
"Genus","IT10",2001,102.321113641134,"Intertidal"
"Genus","IT10",3001,120.256935842661,"Intertidal"
"Genus","IT10",4001,133.825957853705,"Intertidal"
"Genus","IT10",5001,144.69356618688,"Intertidal"
"Genus","IT10",6001,153.714533956358,"Intertidal"
"Genus","IT10",7001,161.390539627629,"Intertidal"
"Genus","IT10",8001,168.042447505045,"Intertidal"
"Genus","IT10",9001,173.888676829481,"Intertidal"
"Genus","IT10",10001,179.085101663093,"Intertidal"
"Genus","IT10",11001,183.747075295769,"Intertidal"
"Genus","IT10",12001,187.962413431325,"Intertidal"
"Genus","IT10",13001,191.799486577731,"Intertidal"
"Genus","IT10",14001,195.312507377871,"Intertidal"
"Genus","IT10",15001,198.545122662126,"Intertidal"
"Genus","IT10",16001,201.532932314009,"Intertidal"
"Genus","IT10",17001,204.305301013572,"Intertidal"
"Genus","IT10",18001,206.886688228635,"Intertidal"
"Genus","IT10",19001,209.297640958482,"Intertidal"
"Genus","IT10",20001,211.555545259338,"Intertidal"
"Genus","IT10",21001,213.675202279211,"Intertidal"
"Genus","IT10",22001,215.669274876529,"Intertidal"
"Genus","IT10",23001,217.54863771947,"Intertidal"
"Genus","IT10",24001,219.322654672916,"Intertidal"
"Genus","IT10",25001,220.999400880277,"Intertidal"
"Genus","IT10",26001,222.585842347956,"Intertidal"
"Genus","IT10",27001,224.087982516735,"Intertidal"
"Genus","IT10",28001,225.510982860358,"Intertidal"
"Genus","IT10",29001,226.8592627597,"Intertidal"
"Genus","IT10",30001,228.136582578623,"Intertidal"
"Genus","IT10",31001,229.346112888933,"Intertidal"
"Genus","IT10",32001,230.490492072481,"Intertidal"
"Genus","IT10",33001,231.571873994388,"Intertidal"
"Genus","IT10",34001,232.591967050945,"Intertidal"
"Genus","IT10",35001,233.552065605306,"Intertidal"
"Genus","IT10",35490,234,"Intertidal"
"Genus","IT11",1,1.00000000000021,"Intertidal"
"Genus","IT11",1001,75.503400829208,"Intertidal"
"Genus","IT11",2001,101.257820024328,"Intertidal"
"Genus","IT11",3001,118.635402214521,"Intertidal"
"Genus","IT11",4001,131.882510643604,"Intertidal"
"Genus","IT11",5001,142.603548795913,"Intertidal"
"Genus","IT11",6001,151.597878489694,"Intertidal"
"Genus","IT11",7001,159.326716633574,"Intertidal"
"Genus","IT11",8001,166.082754110396,"Intertidal"
"Genus","IT11",9001,172.064965581701,"Intertidal"
"Genus","IT11",10001,177.415796402277,"Intertidal"
"Genus","IT11",11001,182.241328932671,"Intertidal"
"Genus","IT11",12001,186.623012589702,"Intertidal"
"Genus","IT11",13001,190.624900076917,"Intertidal"
"Genus","IT11",14001,194.298338874437,"Intertidal"
"Genus","IT11",15001,197.685142366333,"Intertidal"
"Genus","IT11",16001,200.819808798588,"Intertidal"
"Genus","IT11",17001,203.731118957807,"Intertidal"
"Genus","IT11",18001,206.443313941725,"Intertidal"
"Genus","IT11",19001,208.976980555288,"Intertidal"
"Genus","IT11",20001,211.349727972486,"Intertidal"
"Genus","IT11",21001,213.576712252991,"Intertidal"
"Genus","IT11",22001,215.671048024649,"Intertidal"
"Genus","IT11",23001,217.644135270107,"Intertidal"
"Genus","IT11",24001,219.505921462515,"Intertidal"
"Genus","IT11",25001,221.265113948371,"Intertidal"
"Genus","IT11",26001,222.929353692133,"Intertidal"
"Genus","IT11",27001,224.505358760918,"Intertidal"
"Genus","IT11",28001,225.999043922065,"Intertidal"
"Genus","IT11",29001,227.415621233197,"Intertidal"
"Genus","IT11",30001,228.759685385151,"Intertidal"
"Genus","IT11",31001,230.03528670658,"Intertidal"
"Genus","IT11",32001,231.245994089629,"Intertidal"
"Genus","IT11",33001,232.394949592345,"Intertidal"
"Genus","IT11",34001,233.484916089116,"Intertidal"
"Genus","IT11",35001,234.518319033199,"Intertidal"
"Genus","IT11",36001,235.497283160995,"Intertidal"
"Genus","IT11",37001,236.423664778206,"Intertidal"
"Genus","IT11",38001,237.299080122594,"Intertidal"
"Genus","IT11",39001,238.124930179432,"Intertidal"
"Genus","IT11",40001,238.902422234886,"Intertidal"
"Genus","IT11",40131,239,"Intertidal"
"Genus","IT12",1,0.999999999999924,"Intertidal"
"Genus","IT12",1001,80.0302341961827,"Intertidal"
"Genus","IT12",2001,107.91307347737,"Intertidal"
"Genus","IT12",3001,126.374120574697,"Intertidal"
"Genus","IT12",4001,140.070211301155,"Intertidal"
"Genus","IT12",5001,150.880827541356,"Intertidal"
"Genus","IT12",6001,159.766304250937,"Intertidal"
"Genus","IT12",7001,167.279570247662,"Intertidal"
"Genus","IT12",8001,173.765168320212,"Intertidal"
"Genus","IT12",9001,179.450815166534,"Intertidal"
"Genus","IT12",10001,184.494216097606,"Intertidal"
"Genus","IT12",11001,189.008868454919,"Intertidal"
"Genus","IT12",12001,193.079119283192,"Intertidal"
"Genus","IT12",13001,196.769360767517,"Intertidal"
"Genus","IT12",14001,200.129861961277,"Intertidal"
"Genus","IT12",15001,203.200591014274,"Intertidal"
"Genus","IT12",16001,206.013796373785,"Intertidal"
"Genus","IT12",17001,208.595799174971,"Intertidal"
"Genus","IT12",18001,210.968270798731,"Intertidal"
"Genus","IT12",19001,213.149165727327,"Intertidal"
"Genus","IT12",20001,215.153417750258,"Intertidal"
"Genus","IT12",21001,216.993469708791,"Intertidal"
"Genus","IT12",22001,218.679683449576,"Intertidal"
"Genus","IT12",23001,220.220661805764,"Intertidal"
"Genus","IT12",24001,221.623504866947,"Intertidal"
