"dataset","sample","habitat","reads","goods_coverage"
"Genus","IT1","Intertidal",30538,0.99875564869998
"Genus","IT9","Intertidal",49078,0.999225722319573
"Genus","IT10","Intertidal",35490,0.999098337559876
"Genus","IT11","Intertidal",40131,0.99925244823204
"Genus","IT12","Intertidal",26943,0.999034999814423
"Genus","IT13","Intertidal",36254,0.99922767142936
"Genus","IT14","Intertidal",28485,0.998876601720204
"Genus","IT15","Intertidal",52471,0.999294848583027
"Genus","IT16","Intertidal",36649,0.998908565035881
"Genus","IT17","Intertidal",42076,0.999453370092214
"Genus","IT18","Intertidal",39128,0.999182171335105
"Genus","IT1A","Intertidal",20172,0.999305968669443
"Genus","IT1H","Intertidal",27609,0.999456698902532
"Genus","IT2","Intertidal",32452,0.999137187230371
"Genus","IT19","Intertidal",36510,0.999342645850452
"Genus","IT20","Intertidal",95829,0.999718248129481
"Genus","IT21","Intertidal",336431,0.999937580068424
"Genus","IT22","Intertidal",200140,0.999855101429
"Genus","IT23","Intertidal",35384,0.999463034139724
"Genus","IT24","Intertidal",23947,0.998705474589719
"Genus","IT25","Intertidal",41047,0.999171681243453
"Genus","IT26","Intertidal",29538,0.999052068521904
"Genus","IT27","Intertidal",26711,0.999176369286062
"Genus","IT2A","Intertidal",25807,0.99934126399814
"Genus","IT2H","Intertidal",27627,0.999348463459659
"Genus","IT3","Intertidal",141884,0.999788559668462
"Genus","IT3A","Intertidal",35973,0.999638617852278
"Genus","IT3H","Intertidal",22466,0.998753672215793
"Genus","IT4A","Intertidal",28126,0.999573348503164
"Genus","IT4H","Intertidal",49097,0.999735218037762
"Genus","IT4","Intertidal",44968,0.999310620885963
"Genus","IT5A","Intertidal",73664,0.999592745438749
"Genus","IT5H","Intertidal",47539,0.999558257430741
"Genus","IT5","Intertidal",30404,0.999046178134456
"Genus","IT6A","Intertidal",75464,0.999761475670518
"Genus","IT6H","Intertidal",37271,0.999302406696896
"Genus","IT6","Intertidal",34623,0.999335701701181
"Genus","IT7","Intertidal",35167,0.99877726277476
"Genus","IT8","Intertidal",72744,0.999340151765094
"Genus","ST1","Subtidal",381651,0.999937115322638
"Genus","ST10","Subtidal",58012,0.999706957181273
"Genus","ST11","Subtidal",181255,0.999862072770406
"Genus","ST12","Subtidal",85202,0.999706579657755
"Genus","ST13","Subtidal",131294,0.99983243712584
"Genus","ST14","Subtidal",57251,0.999755462786676
"Genus","ST15","Subtidal",57146,0.999510026948518
"Genus","ST16","Subtidal",435285,0.99995635043707
"Genus","ST17","Subtidal",187950,0.999893588720404
"Genus","ST18","Subtidal",35069,0.999572271807009
"Genus","ST19","Subtidal",37140,0.999030694668821
"Genus","ST1A","Subtidal",73345,0.999550071579521
"Genus","ST1H","Subtidal",85159,0.999729916978828
"Genus","ST2","Subtidal",85784,0.999743541919239
"Genus","ST20","Subtidal",58169,0.999638982963434
"Genus","ST21","Subtidal",159622,0.999855909586398
"Genus","ST22","Subtidal",120172,0.99982525047432
"Genus","ST23","Subtidal",35621,0.999382386794307
"Genus","ST24","Subtidal",203534,0.999896823135201
"Genus","ST25","Subtidal",616690,0.999954596312572
"Genus","ST26","Subtidal",489847,0.999940797840958
"Genus","ST27","Subtidal",755419,0.999980143470048
"Genus","ST28","Subtidal",67939,0.999749775533935
"Genus","ST29","Subtidal",53581,0.999664060021276
"Genus","ST2A","Subtidal",35764,0.999552622749133
"Genus","ST2H","Subtidal",74519,0.999798709054067
"Genus","ST3","Subtidal",162676,0.999877056234478
"Genus","ST30","Subtidal",304101,0.999917790470929
"Genus","ST3A","Subtidal",1365632,0.999990480597994
"Genus","ST3H","Subtidal",31949,0.999467901968763
"Genus","ST4","Subtidal",200214,0.999910096197069
"Genus","ST4A","Subtidal",40153,0.999551714691306
"Genus","ST4H","Subtidal",29508,0.999254439474041
"Genus","ST5","Subtidal",92624,0.999676109863534
"Genus","ST5A","Subtidal",62430,0.999359282396284
"Genus","ST5H","Subtidal",115441,0.999757451858525
"Genus","ST6","Subtidal",15598,0.998717784331325
"Genus","ST6A","Subtidal",45245,0.99971267543375
"Genus","ST6H","Subtidal",85235,0.999777086877456
"Genus","ST7","Subtidal",46204,0.999545493896632
"Genus","ST8","Subtidal",44881,0.999532095987166
"Genus","ST9","Subtidal",40282,0.999329725435678
"KO","IT1","Intertidal",23412,0.989407141636767
"KO","IT10","Intertidal",41256,0.993382780686446
"KO","IT11","Intertidal",27985,0.992460246560657
"KO","IT12","Intertidal",32287,0.99173041781522
"KO","IT13","Intertidal",19851,0.990025691400937
