ko,IT1,IT10,IT11,IT12,IT13,IT14,IT15,IT16,IT17,IT18,IT19,IT-C1,IT-H1,IT2,IT21,IT22,IT23,IT24,IT25,IT26,IT27,IT28,IT29,IT-C2,IT-H2,IT3,IT-C3,IT-H3,IT-C4,IT-H4,IT5,IT-C5,IT-H5,IT6,IT-C6,IT-H6,IT7,IT8,IT9,ST1,ST10,ST11,ST12,ST13,ST14,ST15,ST16,ST17,ST18,ST19,ST-C1,ST-H1,ST2,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST-C2,ST-H2,ST3,ST30,ST-C3,ST-H3,ST4,ST-C4,ST-H4,ST5,ST-C5,ST-H5,ST6,ST-C6,ST-H6,ST7,ST8,ST9
K00001,0,3,2,0,0,8,3,5,0,1,0,0,2,2,0,14,288,61,5,0,1,0,7,0,6,5,0,2,0,4,5,20,0,2,16,0,4,5,17,21,7,46,0,17,0,0,56,21,0,4,9,8,14,2,29,10,6,49,136,99,175,0,2,0,2,30,68,535,3,35,7,6,8,4,21,0,0,0,2,0,0
K00002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0
K00003,0,0,0,0,0,2,0,2,0,0,0,0,12,0,0,11,102,10,0,0,3,1,0,0,2,0,0,0,0,2,2,3,6,2,9,7,0,2,10,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,1,0,0,0,0,3,0,0,0,0,3,0,1,243,0,1,0,0,0,3,16,0,0,0,0,0,1
K00004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,12,0,0,0,0,0,0
K00005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,48,2,0,0,0,0,2,3,0,0,0,0,0,0
K00008,1,0,0,2,1,0,1,1,0,2,0,1,0,0,0,1,7,27,0,0,0,0,2,1,0,6,0,0,0,0,1,0,3,0,0,0,0,0,8,1,0,1,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13,6,0,0,2,0,1,0,0,0,0,0,0,0
K00009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
K00010,0,1,3,0,0,0,2,0,0,2,0,0,0,2,2,0,16,28,0,0,0,0,0,0,0,12,0,0,0,0,2,0,0,0,0,6,0,0,81,0,0,17,0,8,0,0,20,15,0,0,3,0,0,0,12,6,0,4,32,40,60,2,1,0,0,6,13,54,0,12,0,0,4,4,0,0,0,0,2,0,0
K00011,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,46,1,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K00012,0,2,0,2,1,1,3,16,4,0,9,0,3,2,0,6,118,26,1,9,7,2,0,0,0,24,0,0,4,6,5,31,15,2,19,0,1,1,0,1,5,0,0,0,0,2,16,1,0,1,2,3,0,0,3,1,1,72,13,4,14,2,7,0,30,0,2,584,0,1,7,0,0,3,22,0,2,2,0,0,1
K00013,5,1,1,0,0,2,1,1,3,1,0,0,6,0,3,18,99,16,0,0,2,1,1,0,1,0,0,0,0,0,10,3,4,2,16,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,78,0,1,0,1,0,0,4,0,0,361,4,0,2,4,0,2,15,0,0,3,0,0,0
K00014,0,2,3,0,0,4,4,0,0,0,3,0,4,1,0,6,91,17,2,0,0,0,0,0,0,2,0,0,0,6,5,14,0,0,20,6,4,0,0,20,4,28,0,20,2,6,56,31,2,0,2,9,8,2,20,12,2,52,83,70,121,0,1,11,12,24,55,290,6,37,1,15,10,4,22,2,0,3,1,0,0
K00015,0,5,1,4,0,0,10,2,2,1,2,1,0,1,3,11,145,31,1,1,14,0,2,2,0,1,4,0,1,0,0,7,0,2,6,3,0,0,11,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,33,0,2,109,0,0,0,0,1,0,2,0,0,0,0,0,0
K00016,0,0,4,1,4,8,0,0,0,2,0,0,3,0,0,0,14,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,22,0,21,0,5,89,29,0,2,6,4,21,0,17,24,1,5,102,98,162,0,2,2,4,20,54,11,0,33,0,4,15,0,8,0,0,0,0,0,2
