"KO","in_prokaryote","removed","symbol","name"
"K02332",FALSE,TRUE,"POLG","DNA polymerase gamma 1 [EC:2.7.7.7]"
"K03884",FALSE,TRUE,"ND6","NADH-ubiquinone oxidoreductase chain 6 [EC:7.1.1.2]"
"K05039",FALSE,TRUE,"SLC6A6, TAUT","solute carrier family 6 (neurotransmitter transporter, taurine) member 6"
"K05163",FALSE,TRUE,"EDA2R, TNFRSF27, XEDAR","tumor necrosis factor receptor superfamily member 27"
"K06250",FALSE,TRUE,"SPP1, BNSP, OPN","secreted phosphoprotein 1"
"K06712",FALSE,TRUE,"BTN, CD277","butyrophilin"
"K07119",FALSE,TRUE,"PTGR3, ZADH2","prostaglandin reductase 3 [EC:1.3.1.48]"
"K07492",FALSE,TRUE,"K07492","putative transposase"
"K08115",FALSE,TRUE,"CSPG4","chondroitin sulfate proteoglycan 4"
"K09097",FALSE,TRUE,"ARNT","aryl hydrocarbon receptor nuclear translocator"
"K09228",FALSE,TRUE,"KRAB","KRAB domain-containing zinc finger protein"
"K10756",FALSE,TRUE,"RFC3_5","replication factor C subunit 3/5"
"K10901",FALSE,TRUE,"BLM, RECQL3, SGS1","bloom syndrome protein [EC:5.6.2.4]"
"K11583",FALSE,TRUE,"PPP2R3","serine/threonine-protein phosphatase 2A regulatory subunit B''"
"K11585",FALSE,TRUE,"CBX1, HP1B, SWI6","chromobox protein 1"
"K11595",FALSE,TRUE,"CHP1","chromo domain-containing protein 1"
"K12879",FALSE,TRUE,"THOC2","THO complex subunit 2"
"K13116",FALSE,TRUE,"DDX41, ABS","ATP-dependent RNA helicase DDX41 [EC:5.6.2.7]"
"K14754",FALSE,TRUE,"MX","interferon-induced GTP-binding protein Mx"
"K15685",FALSE,TRUE,"CBLL1","E3 ubiquitin-protein ligase Hakai [EC:2.3.2.27]"
"K16196",FALSE,TRUE,"EIF2AK4, GCN2","eukaryotic translation initiation factor 2-alpha kinase 4 [EC:2.7.11.1]"
"K16484",FALSE,TRUE,"RTTN","rotatin"
"K17253",FALSE,TRUE,"MFGE8","lactadherin"
"K17292",FALSE,TRUE,"TBCA","tubulin-specific chaperone A"
"K18707",FALSE,TRUE,NA,NA
"K19026",FALSE,TRUE,"SPG11","spatacsin"
"K19876",FALSE,TRUE,"STEAP4","metalloreductase STEAP4 [EC:1.16.1.-]"
"K21121",FALSE,TRUE,"NAA60","N-alpha-acetyltransferase 60 [EC:2.3.1.259]"
"K21871",FALSE,TRUE,"MPHOSPH8, MPP8","M-phase phosphoprotein 8"
"K11180",FALSE,FALSE,"dsrA","dissimilatory sulfite reductase alpha subunit [EC:1.8.1.22]"
"K00013",TRUE,FALSE,NA,NA
"K00059",TRUE,FALSE,NA,NA
"K00075",TRUE,FALSE,NA,NA
"K00102",TRUE,FALSE,NA,NA
"K00111",TRUE,FALSE,NA,NA
"K00123",TRUE,FALSE,NA,NA
"K00134",TRUE,FALSE,NA,NA
"K00164",TRUE,FALSE,NA,NA
"K00174",TRUE,FALSE,NA,NA
"K00249",TRUE,FALSE,NA,NA
"K00265",TRUE,FALSE,NA,NA
"K00382",TRUE,FALSE,NA,NA
"K00384",TRUE,FALSE,NA,NA
"K00428",TRUE,FALSE,NA,NA
"K00525",TRUE,FALSE,NA,NA
"K00548",TRUE,FALSE,NA,NA
"K00558",TRUE,FALSE,NA,NA
"K00615",TRUE,FALSE,NA,NA
"K00681",TRUE,FALSE,NA,NA
"K00788",TRUE,FALSE,NA,NA
"K00789",TRUE,FALSE,NA,NA
"K00800",TRUE,FALSE,NA,NA
"K00820",TRUE,FALSE,NA,NA
"K00826",TRUE,FALSE,NA,NA
"K00940",TRUE,FALSE,NA,NA
"K00962",TRUE,FALSE,NA,NA
"K00986",TRUE,FALSE,NA,NA
"K00990",TRUE,FALSE,NA,NA
"K01007",TRUE,FALSE,NA,NA
