"KO","degree","mean_rel","L2","L3"
"K01613",13,0.686399644782237,"Lipid metabolism","Glycerophospholipid metabolism"
"K00102",12,3.90771909575667,"Carbohydrate metabolism","Pyruvate metabolism"
"K04565",12,3.03610735736747,"Transport and catabolism; Aging; Neurodegenerative diseases","Peroxisome; Longevity regulating pathway - multiple species; Amyotrophic lateral sclerosis (ALS); Huntington disease; Prion diseases"
"K03551",12,1.5422784556924,"Replication and repair; Protein families: genetic information processing","Homologous recombination; DNA repair and recombination proteins"
"K01191",10,15.7870289585473,"Glycan biosynthesis and metabolism; Protein families: genetic information processing","Other glycan degradation; Membrane trafficking"
"K01520",10,12.2313358499496,"Nucleotide metabolism; Xenobiotics biodegradation and metabolism; Protein families: genetic information processing","Pyrimidine metabolism; Drug metabolism - other enzymes; DNA repair and recombination proteins"
"K03406",8,3.75954312357124,"Signal transduction; Cell motility; Protein families: signaling and cellular processes","Two-component system; Bacterial chemotaxis; Bacterial motility proteins"
"K03582",8,0.617848622910412,"Replication and repair; Protein families: genetic information processing","Homologous recombination; DNA repair and recombination proteins"
"K03768",7,2.94821676212741,"Protein families: genetic information processing","Chaperones and folding catalysts"
"K15255",7,1.56576647608108,"Protein families: genetic information processing","DNA replication proteins; Mitochondrial biogenesis"
"K02014",7,1.65239174790454,"Protein families: signaling and cellular processes","Transporters"
"K02030",7,1.58809587025357,"Protein families: signaling and cellular processes","Transporters"
"K01784",7,0.631075046016134,"Carbohydrate metabolism","Galactose metabolism; Amino sugar and nucleotide sugar metabolism"
"K04077",7,0.580959182460281,"Folding, sorting and degradation; Aging; Endocrine and metabolic diseases; Infectious diseases: Bacterial; Protein families: genetic information processing; Protein families: signaling and cellular processes","RNA degradation; Longevity regulating pathway - worm; Type I diabetes mellitus; Legionellosis; Tuberculosis; Messenger RNA biogenesis; Chaperones and folding catalysts; Mitochondrial biogenesis; Exosome"
"K01897",7,0.527804584394558,"Lipid metabolism; Transport and catabolism; Cell growth and death; Cellular community - prokaryotes; Endocrine system; Environmental adaptation; Protein families: metabolism; Protein families: signaling and cellular processes","Fatty acid biosynthesis; Fatty acid degradation; Peroxisome; Ferroptosis; Quorum sensing; Adipocytokine signaling pathway; PPAR signaling pathway; Thermogenesis; Lipid biosynthesis proteins; Exosome"
"K01153",6,1.0944206130215,"Protein families: signaling and cellular processes","Prokaryotic defense system"
"K02355",6,0.851389774732315,"Protein families: genetic information processing","Translation factors; Mitochondrial biogenesis"
"K07485",6,0.562571989850956,"Unclassified: genetic information processing","Replication and repair"
"K02035",6,0.55966469850989,"Cellular community - prokaryotes; Protein families: signaling and cellular processes","Quorum sensing; Transporters"
"K03686",5,11.5719531379978,"Protein families: genetic information processing","Chaperones and folding catalysts; Mitochondrial biogenesis"
