"KO","degree","mean_rel","L2","L3"
"K13924",14,3.02159972188949,"Signal transduction; Cell motility; Protein families: signaling and cellular processes","Two-component system; Bacterial chemotaxis; Bacterial motility proteins"
"K02014",13,3.13972453774744,"Protein families: signaling and cellular processes","Transporters"
"K03070",13,2.61337298872249,"Folding, sorting and degradation; Membrane transport; Cellular community - prokaryotes; Protein families: signaling and cellular processes","Protein export; Bacterial secretion system; Quorum sensing; Secretion system"
"K01897",13,1.21951596325251,"Lipid metabolism; Transport and catabolism; Cell growth and death; Cellular community - prokaryotes; Endocrine system; Environmental adaptation; Protein families: metabolism; Protein families: signaling and cellular processes","Fatty acid biosynthesis; Fatty acid degradation; Peroxisome; Ferroptosis; Quorum sensing; Adipocytokine signaling pathway; PPAR signaling pathway; Thermogenesis; Lipid biosynthesis proteins; Exosome"
"K03307",13,1.1558207850913,"Unclassified: signaling and cellular processes","Transport"
"K01953",13,0.861047092591281,"Amino acid metabolism; Protein families: metabolism","Alanine, aspartate and glutamate metabolism; Peptidases"
"K20971",12,1.04242014709448,"Cellular community - prokaryotes; Protein families: metabolism; Protein families: signaling and cellular processes","Biofilm formation - Pseudomonas aeruginosa; Protein kinases; Two-component system"
"K07480",11,2.19574661343103,"Unclassified: genetic information processing","Replication and repair"
"K03088",11,1.35430576199492,"Protein families: genetic information processing","Transcription machinery"
"K21573",11,0.80218470462846,"Protein families: signaling and cellular processes","Transporters"
"K00986",9,1.95986599770541,"Unclassified: metabolism","Enzymes with EC numbers"
"K03574",9,2.09012147434711,"Protein families: genetic information processing","DNA repair and recombination proteins"
"K03686",8,5.99049405462544,"Protein families: genetic information processing","Chaperones and folding catalysts; Mitochondrial biogenesis"
"K03406",6,6.26521897923029,"Signal transduction; Cell motility; Protein families: signaling and cellular processes","Two-component system; Bacterial chemotaxis; Bacterial motility proteins"
"K02355",6,1.00042167225834,"Protein families: genetic information processing","Translation factors; Mitochondrial biogenesis"
"K01153",5,1.952569576465,"Protein families: signaling and cellular processes","Prokaryotic defense system"
"K21572",5,0.979907840072348,"Protein families: signaling and cellular processes","Transporters"
"K07003",5,1.01168771384245,"Poorly characterized","Function unknown"
"K00102",4,2.65907037498277,"Carbohydrate metabolism","Pyruvate metabolism"
"K06147",4,0.999555644106935,"Protein families: signaling and cellular processes","Transporters"
