KO	IT-H1	IT-H2	IT-H3	IT-H4	IT-H5	IT-H6
K00001	0.000234082397003745	0.00136239782016349	0.000935891436593355	0.000460405156537753	0	0
K00003	0.0025749063670412	0.000272479564032698	0	0.000230202578268877	0.000751032669921142	0.000207511931936086
K00008	0	0	0	0	0.000751032669921142	0
K00010	0	0	0	0	0	0.000415023863872173
K00012	0.000234082397003745	0	0	0.00069060773480663	0.00375516334960571	0
K00013	0.00140449438202247	0.000272479564032698	0	0	0.000751032669921142	0.00352770284291347
K00014	0.000702247191011236	0	0	0	0	0.000622535795808259
K00015	0	0	0	0	0	0.000415023863872173
K00016	0.000234082397003745	0	0	0	0	0
K00018	0.000234082397003745	0	0	0	0	0.00124507159161652
K00020	0.000468164794007491	0.000544959128065395	0	0	0.00112654900488171	0.000415023863872173
K00027	0	0.000272479564032698	0	0	0	0
K00029	0	0	0	0	0.000375516334960571	0.000830047727744345
K00031	0.00163857677902622	0.000272479564032698	0.000935891436593355	0	0	0.00166009545548869
K00033	0	0	0	0.000230202578268877	0	0
K00036	0	0.00245231607629428	0	0	0	0.000415023863872173
K00046	0	0.00163487738419619	0	0	0	0
K00052	0	0	0	0	0	0.000207511931936086
K00053	0.000702247191011236	0	0	0	0	0.000622535795808259
K00054	0	0	0	0	0.00337964701464514	0
K00057	0.000234082397003745	0	0	0	0	0
K00058	0	0.00136239782016349	0.00233972859148339	0.000230202578268877	0.00150206533984228	0
K00059	0.000468164794007491	0	0.00187178287318671	0.000230202578268877	0.00300413067968457	0.00103755965968043
K00060	0	0.000272479564032698	0	0.000460405156537753	0.00112654900488171	0
K00074	0	0	0	0	0	0.000207511931936086
K00075	0	0	0.00514740290126345	0.000230202578268877	0	0.00124507159161652
K00076	0.000468164794007491	0	0	0	0	0
K00077	0	0	0.000935891436593355	0	0	0
K00078	0	0	0	0	0	0.000207511931936086
K00087	0	0.000544959128065395	0	0	0	0
K00088	0.000234082397003745	0.000272479564032698	0	0	0.00150206533984228	0
K00091	0	0	0	0	0	0.000207511931936086
K00097	0.00117041198501873	0	0	0	0	0
K00099	0.000234082397003745	0	0	0	0	0.00103755965968043
