"KO","ST-H1","ST-H2","ST-H3","ST-H4","ST-H5","ST-H6"
"K00001",0.000125841565469074,6.29207827345372e-05,6.29207827345372e-05,0.000314603913672686,0.000125841565469074,0
"K00003",0,0.000125841565469074,0,0,6.29207827345372e-05,0
"K00004",0,0,0,0,6.29207827345372e-05,0
"K00005",0,0,6.29207827345372e-05,0,0,0
"K00008",0,6.29207827345372e-05,0.000125841565469074,6.29207827345372e-05,0,0
"K00012",0.000125841565469074,0.000125841565469074,0,0,6.29207827345372e-05,0
"K00013",0,0.000125841565469074,0.000188762348203612,0.000188762348203612,0,0
"K00014",0.000188762348203612,6.29207827345372e-05,0.000188762348203612,0.000629207827345372,0,0.000125841565469074
"K00015",0,0.000692128610079909,0,0,0,0
"K00016",0.000125841565469074,6.29207827345372e-05,0,0.000188762348203612,6.29207827345372e-05,0
"K00018",0,0,0,0,0,0.00044044547914176
"K00019",0,0,0,0,0,0.000251683130938149
"K00020",0.000377524696407223,0.000188762348203612,6.29207827345372e-05,0,0.000125841565469074,0
"K00021",0.000125841565469074,0,0,0.000251683130938149,0.000125841565469074,0
"K00023",0,0,0,0,0,0.000314603913672686
"K00024",0.000125841565469074,0.000314603913672686,0.000188762348203612,0,0.000251683130938149,6.29207827345372e-05
"K00027",0.000188762348203612,0,0,0.000251683130938149,0.000251683130938149,6.29207827345372e-05
"K00029",0,0.000251683130938149,0.000188762348203612,0.00132133643742528,0.000314603913672686,0.000188762348203612
"K00031",0.000251683130938149,0.000314603913672686,0.000251683130938149,0.000125841565469074,0.000755049392814447,0.000125841565469074
"K00033",0,0,0,0,0,6.29207827345372e-05
"K00040",0,0,0,0,6.29207827345372e-05,0
"K00041",0,0,0,0,6.29207827345372e-05,0
"K00042",0,0,0,0,6.29207827345372e-05,0
"K00045",0,0,0.000125841565469074,0.000314603913672686,0,0
"K00046",0,6.29207827345372e-05,0,0,0,0
"K00052",6.29207827345372e-05,0.000125841565469074,0,0,0.000125841565469074,0
"K00053",0.000251683130938149,0.000188762348203612,0.000880890958283521,6.29207827345372e-05,0.000251683130938149,0.000188762348203612
"K00054",0,0,0,0,0,0.000314603913672686
"K00057",0.000188762348203612,0,0.000188762348203612,0.000755049392814447,6.29207827345372e-05,6.29207827345372e-05
"K00058",6.29207827345372e-05,0.000188762348203612,6.29207827345372e-05,0.000880890958283521,0.000503366261876298,0.000377524696407223
"K00059",0.000817970175548984,0.000566287044610835,0.000503366261876298,6.29207827345372e-05,0.0010067325237526,0.000188762348203612
"K00060",0.000125841565469074,0,0,0,0.000251683130938149,0
"K00061",0,0,0,0,0.000125841565469074,0
