KO	ST-H1	ST-H2	ST-H3	ST-H4	ST-H5	ST-H6
K00001	0.000335908632851864	0.00012758356723654	0.000188857412653447	0.000857191839533688	0.000254874474321397	0
K00003	0	0.00025516713447308	0	0	0.000127437237160698	0
K00004	0	0	0	0	0.000127437237160698	0
K00005	0	0	0.000188857412653447	0	0	0
K00008	0	0.00012758356723654	0.000377714825306893	0.000171438367906738	0	0
K00012	0.000335908632851864	0.00025516713447308	0	0	0.000127437237160698	0
K00013	0	0.00025516713447308	0.00056657223796034	0.000514315103720213	0	0
K00014	0.000503862949277796	0.00012758356723654	0.00056657223796034	0.00171438367906738	0	0.000330414670411366
K00015	0	0.00140341923960194	0	0	0	0
K00016	0.000335908632851864	0.00012758356723654	0	0.000514315103720213	0.000127437237160698	0
K00018	0	0	0	0	0	0.00115645134643978
K00019	0	0	0	0	0	0.000660829340822732
K00020	0.00100772589855559	0.00038275070170962	0.000188857412653447	0	0.000254874474321397	0
K00021	0.000335908632851864	0	0	0.00068575347162695	0.000254874474321397	0
K00023	0	0	0	0	0	0.000826036676028416
K00024	0.000335908632851864	0.0006379178361827	0.00056657223796034	0	0.000509748948642793	0.000165207335205683
K00027	0.000503862949277796	0	0	0.00068575347162695	0.000509748948642793	0.000165207335205683
K00029	0	0.00051033426894616	0.00056657223796034	0.00360020572604149	0.000637186185803492	0.000495622005617049
K00031	0.000671817265703729	0.0006379178361827	0.000755429650613787	0.000342876735813475	0.00152924684592838	0.000330414670411366
K00033	0	0	0	0	0	0.000165207335205683
K00040	0	0	0	0	0.000127437237160698	0
K00041	0	0	0	0	0.000127437237160698	0
K00042	0	0	0	0	0.000127437237160698	0
K00045	0	0	0.000377714825306893	0.000857191839533688	0	0
K00046	0	0.00012758356723654	0	0	0	0
K00052	0.000167954316425932	0.00025516713447308	0	0	0.000254874474321397	0
K00053	0.000671817265703729	0.00038275070170962	0.00264400377714825	0.000171438367906738	0.000509748948642793	0.000495622005617049
K00054	0	0	0	0	0	0.000826036676028416
K00057	0.000503862949277796	0	0.00056657223796034	0.00205726041488085	0.000127437237160698	0.000165207335205683
K00058	0.000167954316425932	0.00038275070170962	0.000188857412653447	0.00240013715069433	0.00101949789728559	0.000991244011234099
K00059	0.00218340611353712	0.00114825210512886	0.00151085930122757	0.000171438367906738	0.00203899579457117	0.000495622005617049
K00060	0.000335908632851864	0	0	0	0.000509748948642793	0
K00061	0	0	0	0	0.000254874474321397	0
K00065	0	0.00025516713447308	0	0	0	0
K00066	0	0	0	0	0.000254874474321397	0
K00067	0.000671817265703729	0	0	0	0.000254874474321397	0.000330414670411366
K00074	0	0.00012758356723654	0.00056657223796034	0	0.000637186185803492	0.000660829340822732
K00075	0.000503862949277796	0.0006379178361827	0.000377714825306893	0	0.00076462342296419	0.000165207335205683
K00076	0	0.00025516713447308	0	0	0	0
K00077	0	0	0.000377714825306893	0	0.000127437237160698	0
K00078	0	0	0	0	0.000127437237160698	0
K00079	0	0.00012758356723654	0	0	0	0
K00087	0	0	0	0	0	0.000330414670411366
K00088	0.000167954316425932	0.00012758356723654	0.000944287063267233	0.000857191839533688	0.00076462342296419	0.000330414670411366
K00091	0	0	0.000755429650613787	0	0.000127437237160698	0
K00097	0.000167954316425932	0.00012758356723654	0	0	0.000254874474321397	0
K00099	0	0.00076550140341924	0.000755429650613787	0	0	0
K00100	0	0.00025516713447308	0	0	0	0
K00101	0	0.00012758356723654	0.000377714825306893	0.000342876735813475	0	0.000826036676028416
K00102	0.00688612697346322	0.0051033426894616	0.00793201133144476	0.00188582204697411	0.00356824264049955	0.0029737320337023
K00103	0.000335908632851864	0	0	0	0	0
K00104	0.000671817265703729	0.00012758356723654	0.000377714825306893	0	0.000892060660124889	0.000165207335205683
K00108	0.000839771582129661	0	0.000755429650613787	0.00102863020744043	0.000637186185803492	0
K00111	0.00151158884783339	0.00038275070170962	0.00132200188857413	0.000171438367906738	0.00101949789728559	0.000165207335205683
K00112	0.000839771582129661	0	0	0.000514315103720213	0.000127437237160698	0
K00113	0	0.00012758356723654	0	0.000171438367906738	0	0
K00114	0	0	0	0	0.000127437237160698	0
K00121	0.000503862949277796	0	0	0	0.000254874474321397	0
K00123	0.000503862949277796	0.00153100280683848	0.00226628895184136	0.00308589062232128	0.00191155855741048	0.00165207335205683
K00124	0	0.0006379178361827	0.000188857412653447	0	0	0
K00127	0	0.00051033426894616	0	0	0	0
K00128	0	0.00051033426894616	0	0	0.000509748948642793	0
K00133	0.000839771582129661	0.00012758356723654	0.000377714825306893	0.00102863020744043	0.000892060660124889	0
K00134	0.00453476654350017	0.00523092625669814	0.0101983002832861	0.0123435624892851	0.00331336816617816	0.00462580538575913
K00135	0.000335908632851864	0	0.00056657223796034	0.000514315103720213	0.000892060660124889	0
K00138	0	0	0.000377714825306893	0	0	0.000826036676028416
K00140	0	0	0	0	0.000254874474321397	0
K00145	0	0.00025516713447308	0.000377714825306893	0	0.000127437237160698	0
K00147	0.000335908632851864	0.00025516713447308	0.000377714825306893	0.000171438367906738	0.00076462342296419	0.00148686601685115
K00154	0.000839771582129661	0	0.000755429650613787	0.000514315103720213	0.00114693513444629	0.000330414670411366
K00158	0	0	0	0	0.000127437237160698	0
K00161	0	0.00025516713447308	0	0	0	0.000660829340822732
K00162	0	0	0	0	0	0.000826036676028416
K00163	0.000671817265703729	0.00012758356723654	0	0.00120006857534716	0.000509748948642793	0.000495622005617049
K00164	0.00117568021498153	0	0.000755429650613787	0.00171438367906738	0.00127437237160698	0.000991244011234099
K00169	0	0	0	0.000171438367906738	0.000254874474321397	0
K00170	0	0.00012758356723654	0	0	0	0
K00174	0	0.00102066853789232	0.00132200188857413	0	0.000509748948642793	0
K00175	0	0.00076550140341924	0.000944287063267233	0	0.00140180960876768	0
K00176	0	0	0.000377714825306893	0	0	0
K00177	0	0.00038275070170962	0	0	0	0.000165207335205683
K00179	0	0	0.000377714825306893	0	0.000254874474321397	0.000495622005617049
K00180	0	0.00012758356723654	0	0	0.000254874474321397	0.000165207335205683
K00183	0	0.00025516713447308	0	0	0.000382311711482095	0
K00184	0	0.00051033426894616	0.00056657223796034	0	0.000382311711482095	0.000826036676028416
K00185	0.000167954316425932	0.00089308497065578	0.00056657223796034	0	0.000892060660124889	0.000165207335205683
K00194	0	0	0.000188857412653447	0	0	0
K00196	0	0	0	0	0.000254874474321397	0
K00197	0	0.00012758356723654	0.000755429650613787	0	0.000127437237160698	0
K00198	0	0.00038275070170962	0.00151085930122757	0	0.000127437237160698	0.000330414670411366
K00208	0.00100772589855559	0	0.000377714825306893	0.000171438367906738	0	0
K00209	0.000167954316425932	0	0.000377714825306893	0	0.000127437237160698	0
K00210	0.000167954316425932	0	0	0.000342876735813475	0.000254874474321397	0
K00215	0.000335908632851864	0.00038275070170962	0.000188857412653447	0	0.000127437237160698	0.000495622005617049
K00219	0.00151158884783339	0.00025516713447308	0	0.000514315103720213	0.000382311711482095	0.000165207335205683
K00226	0.000167954316425932	0.00102066853789232	0	0	0	0
K00228	0.000167954316425932	0	0	0.000342876735813475	0.000127437237160698	0.000495622005617049
K00230	0.000335908632851864	0	0.00056657223796034	0	0	0
K00239	0.000335908632851864	0.00038275070170962	0.00132200188857413	0	0.000382311711482095	0
K00240	0.000167954316425932	0.00025516713447308	0.000944287063267233	0	0.000127437237160698	0.000330414670411366
K00241	0.000167954316425932	0	0	0.000857191839533688	0.000382311711482095	0
K00242	0	0	0	0.00068575347162695	0.000254874474321397	0
K00243	0.000335908632851864	0	0	0	0.000127437237160698	0
K00244	0.00134363453140746	0.0006379178361827	0.00151085930122757	0.000857191839533688	0.00101949789728559	0.000165207335205683
K00245	0.00100772589855559	0.00025516713447308	0	0	0.000637186185803492	0
K00246	0.000335908632851864	0	0	0.000171438367906738	0	0
K00247	0.000335908632851864	0	0	0	0.000127437237160698	0
K00248	0	0.00038275070170962	0	0.00068575347162695	0.00114693513444629	0.00181728068726251
K00249	0.00100772589855559	0.00114825210512886	0.00132200188857413	0.00171438367906738	0.00152924684592838	0.00115645134643978
K00252	0.000167954316425932	0.00012758356723654	0	0	0	0.000330414670411366
K00253	0	0	0.000188857412653447	0	0	0
K00254	0.000335908632851864	0.00012758356723654	0	0.000342876735813475	0	0.000495622005617049
K00259	0.000503862949277796	0	0.00169971671388102	0.00068575347162695	0.000254874474321397	0.000495622005617049
K00261	0	0	0	0	0	0.000330414670411366
K00262	0.000167954316425932	0.00012758356723654	0	0	0.000127437237160698	0.000991244011234099
K00265	0.00268726906281491	0.00178616994131156	0.00132200188857413	0.00205726041488085	0.00114693513444629	0.00247811002808525
K00266	0.00134363453140746	0.00025516713447308	0.00245514636449481	0.000857191839533688	0.000254874474321397	0.000165207335205683
K00274	0	0	0	0	0.000127437237160698	0
K00275	0.000335908632851864	0	0	0	0.000892060660124889	0
K00278	0	0.00025516713447308	0	0	0.000254874474321397	0
K00279	0.000335908632851864	0	0	0	0	0
K00281	0.000839771582129661	0.00012758356723654	0	0.000342876735813475	0.000892060660124889	0
K00282	0	0	0	0	0.000637186185803492	0
K00284	0	0	0	0	0.000382311711482095	0
K00285	0	0	0.000188857412653447	0	0.000254874474321397	0
K00286	0	0.00012758356723654	0.000377714825306893	0	0.000254874474321397	0.000660829340822732
K00287	0.00117568021498153	0.00051033426894616	0	0.000514315103720213	0.000509748948642793	0.0019824880224682
K00290	0	0.00089308497065578	0.000377714825306893	0	0.000127437237160698	0.000165207335205683
K00293	0	0	0	0	0	0.000991244011234099
K00294	0	0	0	0	0.000127437237160698	0
K00297	0.000167954316425932	0.00012758356723654	0	0	0.000637186185803492	0
K00302	0	0.00012758356723654	0	0	0.000254874474321397	0
K00303	0	0.00051033426894616	0	0	0.000127437237160698	0
K00304	0	0	0	0	0.000127437237160698	0
K00306	0	0	0	0.00068575347162695	0.000127437237160698	0
K00311	0.000335908632851864	0	0.00151085930122757	0.00222869878278759	0.000127437237160698	0
K00315	0	0	0.000755429650613787	0.00102863020744043	0.000127437237160698	0
K00318	0	0	0	0	0.000509748948642793	0.000165207335205683
K00322	0.000503862949277796	0	0	0.000857191839533688	0.000509748948642793	0
K00324	0.000167954316425932	0.00012758356723654	0.000944287063267233	0.00068575347162695	0.000509748948642793	0
K00325	0.000839771582129661	0	0.000755429650613787	0	0.00076462342296419	0
K00329	0	0	0	0.000171438367906738	0	0
K00330	0	0.00012758356723654	0	0	0	0
K00331	0	0.00025516713447308	0	0	0.000254874474321397	0
K00334	0	0.00012758356723654	0	0	0.000127437237160698	0.000495622005617049
K00335	0	0.00025516713447308	0.000188857412653447	0.000171438367906738	0.00114693513444629	0.000495622005617049
K00336	0	0.00089308497065578	0.00056657223796034	0	0	0.000165207335205683
K00337	0	0.00012758356723654	0	0	0	0
K00338	0.000167954316425932	0	0	0	0.000127437237160698	0.000495622005617049
K00339	0	0.00025516713447308	0	0	0	0
K00340	0	0.00038275070170962	0	0	0	0
K00341	0	0.00140341923960194	0	0	0	0
K00342	0	0	0	0	0.000382311711482095	0
K00343	0	0.0006379178361827	0	0	0.000127437237160698	0
K00344	0.000335908632851864	0	0	0	0.00127437237160698	0.000330414670411366
K00346	0.000335908632851864	0	0.000755429650613787	0.000342876735813475	0.000254874474321397	0.00148686601685115
K00347	0.000671817265703729	0	0	0.000171438367906738	0.000127437237160698	0.000330414670411366
K00348	0.000671817265703729	0.00025516713447308	0	0.000171438367906738	0	0.000826036676028416
K00349	0.000167954316425932	0.00038275070170962	0	0	0.000127437237160698	0
K00350	0	0.00012758356723654	0	0	0.000127437237160698	0.000165207335205683
K00351	0	0	0.000188857412653447	0.000171438367906738	0.000382311711482095	0.00115645134643978
K00355	0	0	0	0.000342876735813475	0	0
K00356	0	0	0	0.00068575347162695	0	0
K00362	0	0.00012758356723654	0.000188857412653447	0.000342876735813475	0.000382311711482095	0
K00363	0	0.00012758356723654	0	0	0	0
K00364	0.000167954316425932	0.00012758356723654	0	0.000171438367906738	0.000127437237160698	0
K00366	0	0.00076550140341924	0	0	0	0
K00367	0	0.0006379178361827	0	0	0	0
K00368	0	0.00012758356723654	0	0	0	0
K00375	0	0	0.000377714825306893	0	0.00076462342296419	0
K00376	0	0.00038275070170962	0	0	0	0
K00380	0.000167954316425932	0.00012758356723654	0	0	0.000127437237160698	0.000826036676028416
K00381	0	0	0	0.000514315103720213	0.000127437237160698	0
K00382	0.00235136042996305	0.00012758356723654	0.000755429650613787	0.00308589062232128	0.00178412132024978	0.000660829340822732
K00383	0.000671817265703729	0	0	0.00154294531116064	0	0
K00384	0.00100772589855559	0.00165858637407502	0	0.00222869878278759	0.000509748948642793	0.00413018338014208
K00390	0	0	0	0	0	0.00132165868164546
K00392	0	0	0	0	0.000254874474321397	0.00165207335205683
K00394	0	0.00012758356723654	0.000188857412653447	0.000171438367906738	0.000127437237160698	0
K00395	0	0	0.00056657223796034	0	0.000127437237160698	0
K00404	0.000335908632851864	0.00012758356723654	0	0.000171438367906738	0.000254874474321397	0
K00405	0	0.00051033426894616	0	0.00120006857534716	0.000382311711482095	0
K00406	0.000167954316425932	0.0006379178361827	0	0	0	0
K00407	0	0.0006379178361827	0	0	0	0
K00411	0.000167954316425932	0	0.000188857412653447	0	0	0
K00412	0.000503862949277796	0.00204133707578464	0	0.00068575347162695	0.000382311711482095	0.000165207335205683
K00413	0.000167954316425932	0.00025516713447308	0	0.00102863020744043	0.000127437237160698	0.000165207335205683
K00425	0	0	0	0.000171438367906738	0.000127437237160698	0
K00426	0.000335908632851864	0	0	0.000857191839533688	0.000892060660124889	0
K00428	0	0	0	0	0	0.000991244011234099
K00432	0.000167954316425932	0	0	0.000342876735813475	0	0.000330414670411366
K00433	0	0.00012758356723654	0	0	0	0
K00437	0	0	0.000188857412653447	0	0.000127437237160698	0
K00442	0	0	0	0	0	0.000165207335205683
K00451	0	0	0	0	0	0.000165207335205683
K00457	0	0	0	0	0.000127437237160698	0.000495622005617049
K00459	0	0	0	0	0.000254874474321397	0
K00485	0	0	0	0.000342876735813475	0.000382311711482095	0
K00486	0	0	0.000377714825306893	0.000514315103720213	0.000127437237160698	0.000495622005617049
K00500	0.00117568021498153	0	0.000188857412653447	0.000342876735813475	0	0.000330414670411366
K00504	0	0.00038275070170962	0	0	0	0
K00508	0	0	0	0	0	0.000826036676028416
K00518	0	0.00051033426894616	0	0	0.000127437237160698	0
