"Sample","Habitat","Phylum_plot","Relative_abundance"
"IT1","Intertidal","Acidobacteriota",0.00517388172113432
"IT1","Intertidal","Bacillota",0.0151614382081341
"IT1","Intertidal","Bacteroidota",0.0350383129216059
"IT1","Intertidal","Campylobacterota",0.00288165564215076
"IT1","Intertidal","Candidatus Omnitrophota",0.000654921736852446
"IT1","Intertidal","Cyanobacteriota",0.00550134258956055
"IT1","Intertidal","Others",0.176796122863318
"IT1","Intertidal","Planctomycetota",0.080981072761805
"IT1","Intertidal","Pseudomonadota",0.522889514702993
"IT1","Intertidal","Spirochaetota",0.135568799528456
"IT1","Intertidal","Thermodesulfobacteriota",0.0193529373239898
"IT10","Intertidal","Acidobacteriota",0.00211327134404058
"IT10","Intertidal","Bacillota",0.0195548041701888
"IT10","Intertidal","Bacteroidota",0.0257255564947873
"IT10","Intertidal","Campylobacterota",0.00107072414764722
"IT10","Intertidal","Candidatus Omnitrophota",0.000929839391377853
"IT10","Intertidal","Cyanobacteriota",0.00659340659340659
"IT10","Intertidal","Others",0.223584108199493
"IT10","Intertidal","Planctomycetota",0.0626655395886165
"IT10","Intertidal","Pseudomonadota",0.441053817976895
"IT10","Intertidal","Spirochaetota",0.172978303747535
"IT10","Intertidal","Thermodesulfobacteriota",0.043730628346013
"IT11","Intertidal","Acidobacteriota",0.00291545189504373
"IT11","Intertidal","Bacillota",0.0134559318232788
"IT11","Intertidal","Bacteroidota",0.0236973910443298
"IT11","Intertidal","Campylobacterota",0.00139542996685854
"IT11","Intertidal","Candidatus Omnitrophota",0.00446039221549426
"IT11","Intertidal","Cyanobacteriota",0.00338890134808502
"IT11","Intertidal","Others",0.197876952978994
"IT11","Intertidal","Planctomycetota",0.0589070793152426
"IT11","Intertidal","Pseudomonadota",0.499987540803867
"IT11","Intertidal","Spirochaetota",0.161022650818569
"IT11","Intertidal","Thermodesulfobacteriota",0.032892277790237
"IT12","Intertidal","Acidobacteriota",0.00230115428868352
"IT12","Intertidal","Bacillota",0.0171101955981145
"IT12","Intertidal","Bacteroidota",0.0313996214230041
"IT12","Intertidal","Campylobacterota",0.0014846156701184
"IT12","Intertidal","Candidatus Omnitrophota",0.000890769402071039
"IT12","Intertidal","Cyanobacteriota",0.00497346249489663
"IT12","Intertidal","Others",0.222729465909513
"IT12","Intertidal","Planctomycetota",0.100953865568051
"IT12","Intertidal","Pseudomonadota",0.455331626025313
"IT12","Intertidal","Spirochaetota",0.12827079389823
"IT12","Intertidal","Thermodesulfobacteriota",0.0345544297220057
"IT13","Intertidal","Acidobacteriota",0.0217355326308821
"IT13","Intertidal","Bacillota",0.0191978816130634
"IT13","Intertidal","Bacteroidota",0.0730677994152369
"IT13","Intertidal","Campylobacterota",0.0253765101781872
"IT13","Intertidal","Candidatus Omnitrophota",0.000965410713300601
"IT13","Intertidal","Cyanobacteriota",0.00537871683124621
"IT13","Intertidal","Others",0.180614552876924
"IT13","Intertidal","Planctomycetota",0.0788602636950406
"IT13","Intertidal","Pseudomonadota",0.492414630109781
"IT13","Intertidal","Spirochaetota",0.0747503723727037
"IT13","Intertidal","Thermodesulfobacteriota",0.0276383295636344
"IT14","Intertidal","Acidobacteriota",0.00245743373705459
"IT14","Intertidal","Bacillota",0.0226434965771459
"IT14","Intertidal","Bacteroidota",0.0378444795506407
"IT14","Intertidal","Campylobacterota",0.00263296471827278
"IT14","Intertidal","Candidatus Omnitrophota",0.000842548709847288
"IT14","Intertidal","Cyanobacteriota",0.00407231876426189
"IT14","Intertidal","Others",0.190345796033
"IT14","Intertidal","Planctomycetota",0.0985079866596454
"IT14","Intertidal","Pseudomonadota",0.524205722309988
"IT14","Intertidal","Spirochaetota",0.091486747410918
"IT14","Intertidal","Thermodesulfobacteriota",0.0249605055292259
"IT15","Intertidal","Acidobacteriota",0.00432619923386251
"IT15","Intertidal","Bacillota",0.011816050770902
"IT15","Intertidal","Bacteroidota",0.031750871910198
"IT15","Intertidal","Campylobacterota",0.00263002420384593
"IT15","Intertidal","Candidatus Omnitrophota",0.000686093270568504
"IT15","Intertidal","Cyanobacteriota",0.0026681404966553
"IT15","Intertidal","Others",0.186998532522727
"IT15","Intertidal","Planctomycetota",0.0607954870309314
"IT15","Intertidal","Pseudomonadota",0.538297345200206
"IT15","Intertidal","Spirochaetota",0.137885689237865
"IT15","Intertidal","Thermodesulfobacteriota",0.022145566122239
"IT16","Intertidal","Acidobacteriota",0.00234658517285601
"IT16","Intertidal","Bacillota",0.0176266746705231
"IT16","Intertidal","Bacteroidota",0.0305874648694371
"IT16","Intertidal","Campylobacterota",0.00229201342465006
"IT16","Intertidal","Candidatus Omnitrophota",0.000709432726677399
"IT16","Intertidal","Cyanobacteriota",0.00382002237441676
"IT16","Intertidal","Others",0.192801986411635
"IT16","Intertidal","Planctomycetota",0.0822396245463723
"IT16","Intertidal","Pseudomonadota",0.490436301126907
"IT16","Intertidal","Spirochaetota",0.144969849109116
"IT16","Intertidal","Thermodesulfobacteriota",0.0321700455674098
"IT17","Intertidal","Acidobacteriota",0.00337484551763476
"IT17","Intertidal","Bacillota",0.008555946382736
"IT17","Intertidal","Bacteroidota",0.0253588744177203
"IT17","Intertidal","Campylobacterota",0.00209145356022436
"IT17","Intertidal","Candidatus Omnitrophota",0.000665462496435022
"IT17","Intertidal","Cyanobacteriota",0.00389770890769084
"IT17","Intertidal","Others",0.18314478562601
"IT17","Intertidal","Planctomycetota",0.0631476376081377
"IT17","Intertidal","Pseudomonadota",0.516351364198118
"IT17","Intertidal","Spirochaetota",0.168124346420762
"IT17","Intertidal","Thermodesulfobacteriota",0.0252875748645308
"IT18","Intertidal","Acidobacteriota",0.00265794316090779
"IT18","Intertidal","Bacillota",0.0138264158658761
"IT18","Intertidal","Bacteroidota",0.0450572480065426
"IT18","Intertidal","Campylobacterota",0.00419137190758536
"IT18","Intertidal","Candidatus Omnitrophota",0.00155898589245553
"IT18","Intertidal","Cyanobacteriota",0.00569924350848497
"IT18","Intertidal","Others",0.165405847474954
"IT18","Intertidal","Planctomycetota",0.0812717235739113
"IT18","Intertidal","Pseudomonadota",0.503245757513801
"IT18","Intertidal","Spirochaetota",0.142327744837457
"IT18","Intertidal","Thermodesulfobacteriota",0.0347577182580249
"IT19","Intertidal","Acidobacteriota",0.00342371952889619
"IT19","Intertidal","Bacillota",0.0200493015612161
"IT19","Intertidal","Bacteroidota",0.03957819775404
"IT19","Intertidal","Campylobacterota",0.00717611613256642
"IT19","Intertidal","Candidatus Omnitrophota",0.00139687756778965
"IT19","Intertidal","Cyanobacteriota",0.00462886880306765
