"Sample","Shannon","Group","Habitat"
"IT1",1.96363038501424,"IT","Intertidal"
"IT10",1.50854781246256,"IT","Intertidal"
"IT11",1.79826837448576,"IT","Intertidal"
"IT12",1.4794552288843,"IT","Intertidal"
"IT13",2.84977583443938,"IT","Intertidal"
"IT14",2.01931456955541,"IT","Intertidal"
"IT15",2.12588136392739,"IT","Intertidal"
"IT16",1.69913997056942,"IT","Intertidal"
"IT17",1.92527850629297,"IT","Intertidal"
"IT18",1.74270047270482,"IT","Intertidal"
"IT19",1.58391029163568,"IT","Intertidal"
"IT2",1.77623933536769,"IT","Intertidal"
"IT20",4.13066719481837,"IT","Intertidal"
"IT21",5.44605897486,"IT","Intertidal"
"IT22",2.89027060017254,"IT","Intertidal"
"IT23",1.97165683437388,"IT","Intertidal"
"IT24",1.3892553413029,"IT","Intertidal"
"IT25",3.17984262820164,"IT","Intertidal"
"IT26",1.75592193137932,"IT","Intertidal"
"IT27",2.08150574737666,"IT","Intertidal"
"IT3",1.65372842907567,"IT","Intertidal"
"IT4",2.71343457471954,"IT","Intertidal"
"IT5",1.74312234987467,"IT","Intertidal"
"IT6",1.30794673189811,"IT","Intertidal"
"IT7",1.82612047506795,"IT","Intertidal"
"IT8",2.61436145781683,"IT","Intertidal"
"IT9",2.52637251525784,"IT","Intertidal"
"ST1",3.98720829860488,"ST","Subtidal"
"ST10",2.25953238046424,"ST","Subtidal"
"ST11",3.38865782969696,"ST","Subtidal"
"ST12",1.26968492355196,"ST","Subtidal"
"ST13",3.34525594044095,"ST","Subtidal"
"ST14",0.886520962569656,"ST","Subtidal"
"ST15",1.91632405343688,"ST","Subtidal"
"ST16",3.55936424275612,"ST","Subtidal"
"ST17",3.55941455897601,"ST","Subtidal"
"ST18",1.25615331974506,"ST","Subtidal"
"ST19",1.3567469929004,"ST","Subtidal"
"ST2",3.36554408358349,"ST","Subtidal"
"ST20",1.34361838445798,"ST","Subtidal"
"ST21",3.13644578522943,"ST","Subtidal"
"ST22",3.1336921555505,"ST","Subtidal"
"ST23",2.59078650952379,"ST","Subtidal"
"ST24",4.28195978101066,"ST","Subtidal"
"ST25",3.63001236903829,"ST","Subtidal"
"ST26",3.64239859636577,"ST","Subtidal"
"ST27",3.60980820898751,"ST","Subtidal"
"ST28",1.60110631356038,"ST","Subtidal"
"ST29",1.87482645967019,"ST","Subtidal"
"ST3",3.60044744387797,"ST","Subtidal"
"ST30",3.63202094045274,"ST","Subtidal"
"ST4",3.48778759115226,"ST","Subtidal"
"ST5",3.21570131296031,"ST","Subtidal"
"ST6",0.97435965337738,"ST","Subtidal"
"ST7",1.5868179277713,"ST","Subtidal"
"ST8",1.67610728444128,"ST","Subtidal"
"ST9",1.49435364276888,"ST","Subtidal"
