"KO","logFC","logCPM","F","PValue","FDR","direction","paths"
"K08115",8.24703464335139,8.07105335014503,232.729921202973,4.21521368348006e-25,1.24222347252157e-21,"Intertidal-enriched","Brite Hierarchies; Protein families: signaling and cellular processes; Proteoglycans"
"K07119",7.17301900853358,6.14653386311394,187.883534598902,1.87650160428345e-22,2.76502511391166e-19,"Intertidal-enriched","Not Included in Pathway or Brite; Poorly characterized; Function unknown"
"K02126",7.94445589605703,6.89649899177476,149.134530312323,8.97818573590993e-20,8.81957112124219e-17,"Intertidal-enriched","Metabolism; Energy metabolism; Oxidative phosphorylation | Organismal Systems; Environmental adaptation; Thermogenesis | Human Diseases; Neurodegenerative diseases; Alzheimer disease | Human Diseases; Neurodegenerative diseases; Parkinson disease | Human Diseases; Neurodegenerative diseases; Huntington disease | Brite Hierarchies; Protein families: genetic information processing; Mitochondrial biogenesis"
"K03412",5.97966588433321,6.08161072664376,112.256170133416,9.39203887098195e-17,6.91958463819595e-14,"Intertidal-enriched","Environmental Information Processing; Signal transduction; Two-component system | Cellular Processes; Cell motility; Bacterial chemotaxis | Brite Hierarchies; Protein families: signaling and cellular processes; Two-component system | Brite Hierarchies; Protein families: signaling and cellular processes; Bacterial motility proteins"
"K08094",6.7384374821584,5.83233483940963,102.791140561559,6.97942259634406e-16,3.42805973190432e-13,"Intertidal-enriched","Metabolism; Carbohydrate metabolism; Pentose phosphate pathway | Metabolism; Energy metabolism; Methane metabolism"
"K18698",6.4616940085331,5.60364242881292,103.032413136284,6.6228534364068e-16,3.42805973190432e-13,"Intertidal-enriched","Human Diseases; Drug resistance: Antimicrobial; beta-Lactam resistance | Brite Hierarchies; Protein families: signaling and cellular processes; Antimicrobial resistance genes"
"K06704",8.60192659453567,8.66259111701767,97.6955602453911,2.14864084637718e-15,9.04577796324794e-13,"Intertidal-enriched","Human Diseases; Neurodegenerative diseases; Alzheimer disease | Human Diseases; Infectious diseases: Bacterial; Epithelial cell signaling in Helicobacter pylori infection | Brite Hierarchies; Protein families: metabolism; Peptidases | Brite Hierarchies; Protein families: signaling and cellular processes; CD molecules"
"K04656",6.05689271681467,5.54033131886012,96.3019508366483,2.93923726003997e-15,1.08274152566723e-12,"Intertidal-enriched","Not Included in Pathway or Brite; Unclassified: genetic information processing; Protein processing"
"K06250",8.95938805096059,7.57726219185958,123.384714249963,5.71953943448184e-15,1.872831412602e-12,"Intertidal-enriched","Environmental Information Processing; Signal transduction; Apelin signaling pathway | Environmental Information Processing; Signal transduction; PI3K-Akt signaling pathway | Environmental Information Processing; Signaling molecules and interaction; ECM-receptor interaction | Cellular Processes; Cellular community - eukaryotes; Focal adhesion | Organismal Systems; Immune system; Toll-like receptor signaling pathway | Human Diseases; Infectious diseases: Viral; Human papillomavirus infection"
"K12541",6.29672583403285,5.98525157327408,91.298356504392,9.24872545627375e-15,2.72559939196388e-12,"Intertidal-enriched","Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Secretion system"
