ko,IT1,IT2,IT3,IT4,IT5,IT6,IT7,IT8,IT9,IT10,IT11,IT12,IT13,IT14,IT15,IT16,IT17,IT18,IT19,IT20,IT21,IT22,IT23,IT24,IT25,IT26,IT27,ST1,ST2,ST3,ST4,ST5,ST6,ST7,ST8,ST9,ST10,ST11,ST12,ST13,ST14,ST15,ST16,ST17,ST18,ST19,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST30
K00001,0,2,5,5,2,4,5,17,3,2,0,0,8,3,5,0,1,0,0,14,288,61,5,0,1,0,7,21,14,30,35,8,0,2,0,0,7,46,0,17,0,0,56,21,0,4,2,29,10,6,49,136,99,175,0,2,68
K00002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K00003,0,0,0,2,2,0,2,10,0,0,0,0,2,0,2,0,0,0,0,11,102,10,0,0,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,4,1,0,0,0,0,3,0,0,0,1
K00004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
K00005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
K00008,1,0,6,1,0,0,0,8,0,0,2,1,0,1,1,0,2,0,0,1,7,27,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
K00009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K00010,0,2,12,2,0,0,0,81,1,3,0,0,0,2,0,0,2,0,2,0,16,28,0,0,0,0,0,0,0,6,12,4,0,2,0,0,0,17,0,8,0,0,20,15,0,0,0,12,6,0,4,32,40,60,2,1,13
K00011,0,0,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K00012,0,2,24,5,2,1,1,0,2,0,2,1,1,3,16,4,0,9,0,6,118,26,1,9,7,2,0,1,0,0,1,0,0,0,0,1,5,0,0,0,0,2,16,1,0,1,0,3,1,1,72,13,4,14,2,7,2
K00013,5,0,0,10,2,0,1,0,1,1,0,0,2,1,1,3,1,0,3,18,99,16,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,1,0,1,0,0
K00014,0,1,2,5,0,4,0,0,2,3,0,0,4,4,0,0,0,3,0,6,91,17,2,0,0,0,0,20,8,24,37,10,2,1,0,0,4,28,0,20,2,6,56,31,2,0,2,20,12,2,52,83,70,121,0,1,55
K00015,0,1,1,0,2,0,0,11,5,1,4,0,0,10,2,2,1,2,3,11,145,31,1,1,14,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,1,1,0,0,1,2
K00016,0,0,1,0,0,0,0,0,0,4,1,4,8,0,0,0,2,0,0,0,14,0,0,4,0,0,0,7,21,20,33,15,0,0,0,2,8,22,0,21,0,5,89,29,0,2,0,17,24,1,5,102,98,162,0,2,54
