"Sample","Group","Habitat","Threshold","Richness","Global_FRI"
"IT1","IT","Intertidal","Top 10%",68,4.82636467703246
"IT10","IT","Intertidal","Top 10%",69,4.63897719120406
"IT11","IT","Intertidal","Top 10%",69,4.99420215856439
"IT12","IT","Intertidal","Top 10%",69,4.78509346842276
"IT13","IT","Intertidal","Top 10%",67,4.72444538155443
"IT14","IT","Intertidal","Top 10%",69,5.0778336078789
"IT15","IT","Intertidal","Top 10%",69,5.07149560302797
"IT16","IT","Intertidal","Top 10%",68,5.01320134208278
"IT17","IT","Intertidal","Top 10%",69,4.80940309811159
"IT18","IT","Intertidal","Top 10%",68,4.894766886197
"IT19","IT","Intertidal","Top 10%",68,4.99668187773368
"IT2","IT","Intertidal","Top 10%",69,4.95342775065014
"IT20","IT","Intertidal","Top 10%",69,4.80594481704217
"IT21","IT","Intertidal","Top 10%",68,4.69748336444056
"IT22","IT","Intertidal","Top 10%",69,4.95751696788349
"IT23","IT","Intertidal","Top 10%",68,4.98987337285837
"IT24","IT","Intertidal","Top 10%",68,4.73622217062229
"IT25","IT","Intertidal","Top 10%",67,4.62850652520674
"IT26","IT","Intertidal","Top 10%",67,4.94822885194097
"IT27","IT","Intertidal","Top 10%",69,4.92246655282625
"IT3","IT","Intertidal","Top 10%",69,4.63287394278764
"IT4","IT","Intertidal","Top 10%",67,4.76097302109735
"IT5","IT","Intertidal","Top 10%",68,4.63665917231167
"IT6","IT","Intertidal","Top 10%",69,4.81456997011195
"IT7","IT","Intertidal","Top 10%",68,4.69615390485798
"IT8","IT","Intertidal","Top 10%",69,4.98765661925696
"IT9","IT","Intertidal","Top 10%",69,4.99053904353681
"ST1","ST","Subtidal","Top 10%",60,4.86068103929521
"ST10","ST","Subtidal","Top 10%",53,4.56887300667244
"ST11","ST","Subtidal","Top 10%",63,4.80891785773864
"ST12","ST","Subtidal","Top 10%",59,4.79302073246105
"ST13","ST","Subtidal","Top 10%",60,4.5770898633398
"ST14","ST","Subtidal","Top 10%",58,4.73545114433421
"ST15","ST","Subtidal","Top 10%",61,4.90770974754146
"ST16","ST","Subtidal","Top 10%",62,4.66028621975929
"ST17","ST","Subtidal","Top 10%",60,4.76120649194948
"ST18","ST","Subtidal","Top 10%",62,4.8384741537714
"ST19","ST","Subtidal","Top 10%",62,4.89362255257595
"ST2","ST","Subtidal","Top 10%",60,4.70561829941097
"ST20","ST","Subtidal","Top 10%",63,4.79330111810146
"ST21","ST","Subtidal","Top 10%",56,4.72001143029716
"ST22","ST","Subtidal","Top 10%",56,4.79204412302732
