"","IT-C1","IT-C2","IT-C3","IT-C4","IT-C5","IT-C6","IT-H1","IT-H2","IT-H3","IT-H4","IT-H5","IT-H6","ST-C1","ST-C2","ST-C3","ST-C4","ST-C5","ST-C6","ST-H1","ST-H2","ST-H3","ST-H4","ST-H5","ST-H6"
"Acidobacteriota",0.00317271465397581,0.00290618824349983,0.0015845217246268,0.00341321197468534,0.00175119461337967,0.000874589208099226,0.00282516570683473,0.00459695225685018,0.00240363215525683,0.00138501334093733,0.00342876375186689,0.0029513562823643,0.00144522462335538,0.00067106587630019,0.00022700112475396,0.000647523223669464,0.00134550696780394,0.000552547242789258,0.000763278103312627,0.000161032756746602,0.000751197220570284,0.000576114951877457,0.00106547933576459,0.000481023053909779
"Actinomycetota",0.00555225064445766,0.00317743247955981,0.002585272287549,0.00511981796202802,0.00253855343179844,0.00204070815223153,0.00517947046253033,0.00470554168024034,0.00636517404077272,0.00329959060635069,0.00666820925976567,0.0029513562823643,0.00274047310655123,0.00436192819595124,0.000294369200487393,0.00323761611834732,0.00312349831811629,0.00422146093490993,0.00204323676886765,0.00193239308095922,0.00291088922970985,0.00410058289277484,0.00172382429119637,0.00218220214700534
"Armatimonadota",0,0,0,0,0.000244352736750652,0,0,0,0,6.11035297472351e-05,2.10353604409012e-05,0,0,0,5.41873652638485e-05,9.96189574876099e-05,0,0,0,5.36775855822005e-05,6.2599768380857e-05,0,0,0
"Atribacterota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66130846377355e-06,0,0,0,0,0.000268387927911003,0,0,0,0
"Bacillota",0.0210192345825897,0.0242957337156585,0.0153170433380591,0.0183815686553367,0.0751927671589922,0.0163786706244037,0.017059654460502,0.0246497991095667,0.0193180806552123,0.0162942745992627,0.0179010917352069,0.022752273885863,0.00756697798077579,0.00413823957051784,0.027046817883588,0.0132493213458521,0.00980297933685728,0.00658636313404796,0.0026068882913139,0.0132046860532213,0.0124260540236001,0.00576114951877457,0.0229207993693748,0.00822432099489646
"Bacteroidota",0.0397580805076343,0.0390979191692177,0.0281322102688127,0.0905923344947735,0.119719265855778,0.0999019399978798,0.0349161505306241,0.0303688420747819,0.0369002047538503,0.0255412754343443,0.0664507036328068,0.0964825199216549,0.0329129456677347,0.0239626439995526,0.241274369669135,0.0769307399198067,0.0382828768220407,0.240048624157365,0.0131048978968753,0.184691152591956,0.0449779335816458,0.0265351769011793,0.0972184925633007,0.41104006570071
"Balneolota",0,0,0,0,0,0,3.62200731645478e-05,0,0,0,8.41414417636046e-05,0,1.36341945599564e-05,0,2.34323741681507e-05,0,0,0,0,0.000268387927911003,0,0,6.92994689928188e-05,0
"Bdellovibrionota",0,0.000232495059479986,0.000138993133739193,0.000213325748417834,0.00122176368375326,0.000251775681119474,0.00032598065848093,0.000941108336048069,0.000623163892103623,8.14713729963134e-05,0.000862449778076947,0.000348796651552145,0.000163610334719476,0,0.000392492267316525,4.98094787438049e-05,0.00051257408297293,0,0.000481452342089503,0.000147613360351051,0.000375598610285142,0.000610004066693778,0.000346497344964094,0.000281574470581334
"Caldisericota",0,0,0,0,0,0,0,0,0,4.07356864981567e-05,0,0,0,0,1.39129721623395e-05,0,0,0,0,0,0,0,0,0
"Calditrichota",0,0,0,0,0,0,0,0,0,0,4.20707208818023e-05,0,0,0,4.90615334145656e-05,0,0,0,0,0,0,0,0,0
