"Phylum","Mean_relative_abundance","Rank","Display"
"Pseudomonadota",0.380908663101206,1,"Pseudomonadota"
"Unclassified Bacteria",0.22437126509212,2,"Others"
"Campylobacterota",0.0939341921292633,3,"Campylobacterota"
"Bacteroidota",0.0891183902547275,4,"Bacteroidota"
"Planctomycetota",0.0674093193144975,5,"Planctomycetota"
"Spirochaetota",0.0543042594053441,6,"Spirochaetota"
"Thermodesulfobacteriota",0.0500633836087525,7,"Thermodesulfobacteriota"
"Bacillota",0.0175872829176447,8,"Bacillota"
"Cyanobacteriota",0.00352218540031773,9,"Cyanobacteriota"
"Actinomycetota",0.00346066048227188,10,"Actinomycetota"
"Ignavibacteriota",0.00259119900420352,11,"Ignavibacteriota"
"Verrucomicrobiota",0.00183034302963433,12,"Others"
"Acidobacteriota",0.0016658457663846,13,"Others"
"Chloroflexota",0.00154576934423184,14,"Others"
"Chlamydiota",0.00109553250983696,15,"Others"
"Chlorobiota",0.00106173456158933,16,"Others"
"Candidatus Omnitrophota",0.000804948245310068,17,"Others"
"Gemmatimonadota",0.000613087553734766,18,"Others"
"Deltaproteobacteria (no phylum in NCBI)",0.000600191565974652,19,"Others"
"Candidatus Delongbacteria",0.000575181862987875,20,"Others"
"Myxococcota",0.000482219836853371,21,"Others"
"Candidatus Poribacteria",0.000448279309996081,22,"Others"
"Mycoplasmatota",0.000436401770649779,23,"Others"
"Bdellovibrionota",0.000358439598103559,24,"Others"
"Lentisphaerota",0.000180852606547772,25,"Others"
"Candidatus Cloacimonadota",0.000163906752147696,26,"Others"
"Candidatus Paceibacterota",0.000144872803627369,27,"Others"
"Candidatus Neomarinimicrobiota",0.000137497335462974,28,"Others"
"Deferribacterota",0.000108432341188721,29,"Others"
"Candidatus Sumerlaeota",8.7829215133257e-05,30,"Others"
"Rhodothermota",7.52302992748189e-05,31,"Others"
"Fusobacteriota",5.27551637274034e-05,32,"Others"
"Nitrospirota",4.52948746262253e-05,33,"Others"
"Nitrospinota",2.57706508597019e-05,34,"Others"
"Armatimonadota",2.48573043188877e-05,35,"Others"
"Balneolota",2.06298116900034e-05,36,"Others"
"Fibrobacterota",2.01825850059501e-05,37,"Others"
"Candidatus Tectomicrobia",1.71662695274452e-05,38,"Others"
"Synergistota",1.52432949159654e-05,39,"Others"
"Kiritimatiellota",1.1547277023757e-05,40,"Others"
"Atribacterota",1.1335384848949e-05,41,"Others"
"Candidatus Saccharibacteria",7.57915518728932e-06,42,"Others"
"Candidatus Eisenbacteria",6.75470588984159e-06,43,"Others"
"Candidatus Moduliflexota",6.13101097577057e-06,44,"Others"
"Candidatus Falkowbacteria",5.52547242789258e-06,45,"Others"
"Thermotogota",4.5203783957275e-06,46,"Others"
"Candidatus Absconditabacteria",4.33121681205118e-06,47,"Others"
"Candidatus Hydrogenedentota",3.98131435645079e-06,48,"Others"
"Candidatus Parcubacteria",3.87488479082701e-06,49,"Others"
"Calditrichota",3.79717726234866e-06,50,"Others"
"Candidatus Campbellbacteria",3.26466671353142e-06,51,"Others"
"Candidatus Fermentibacteria",3.10275481013778e-06,52,"Others"
"Candidatus Moraniibacteriota",3.0659872405074e-06,53,"Others"
"Caldisericota",2.27702744418734e-06,54,"Others"
"Candidatus Aminicenantes",1.55765848364459e-06,55,"Others"
"Candidatus Glassbacteria",1.46452338550942e-06,56,"Others"
"Candidatus Kaiserbacteria",1.44373893735039e-06,57,"Others"
"Candidatus Riflebacteria",1.33482834107534e-06,58,"Others"
"Deinococcota",1.31196886618552e-06,59,"Others"
"Elusimicrobiota",7.3226169275471e-07,60,"Others"
"Candidatus Margulisiibacteriota",3.96641750242135e-07,61,"Others"
"Candidatus Gracilibacteria",3.35619942512575e-07,62,"Others"
"Candidatus Peregrinibacteria",3.35619942512575e-07,63,"Others"
"Chrysiogenota",3.05109038647796e-07,64,"Others"
"Candidatus Babeliae (no phylum in NCBI)",2.13576327053457e-07,65,"Others"
"Candidatus Magasanikiibacteriota",1.83065423188677e-07,66,"Others"
