"Sample","Group","Habitat","Phylum_plot","Relative_abundance"
"IT-C1","IT-C","Intertidal Control","Actinomycetota",0.00555225064445766
"IT-C1","IT-C","Intertidal Control","Bacillota",0.0210192345825897
"IT-C1","IT-C","Intertidal Control","Bacteroidota",0.0397580805076343
"IT-C1","IT-C","Intertidal Control","Campylobacterota",0.0685108070592901
"IT-C1","IT-C","Intertidal Control","Cyanobacteriota",0.00535395597858418
"IT-C1","IT-C","Intertidal Control","Ignavibacteriota",0.00109062066230418
"IT-C1","IT-C","Intertidal Control","Others",0.315536387071188
"IT-C1","IT-C","Intertidal Control","Planctomycetota",0.118828078524688
"IT-C1","IT-C","Intertidal Control","Pseudomonadota",0.318163791394012
"IT-C1","IT-C","Intertidal Control","Spirochaetota",0.0801110450128892
"IT-C1","IT-C","Intertidal Control","Thermodesulfobacteriota",0.0260757485623637
"IT-C2","IT-C","Intertidal Control","Actinomycetota",0.00317743247955981
"IT-C2","IT-C","Intertidal Control","Bacillota",0.0242957337156585
"IT-C2","IT-C","Intertidal Control","Bacteroidota",0.0390979191692177
"IT-C2","IT-C","Intertidal Control","Campylobacterota",0.0394466617584376
"IT-C2","IT-C","Intertidal Control","Cyanobacteriota",0.0033324291858798
"IT-C2","IT-C","Intertidal Control","Ignavibacteriota",0.000852481884759949
"IT-C2","IT-C","Intertidal Control","Others",0.261905684504204
"IT-C2","IT-C","Intertidal Control","Planctomycetota",0.0968729414499942
"IT-C2","IT-C","Intertidal Control","Pseudomonadota",0.426047196497074
"IT-C2","IT-C","Intertidal Control","Spirochaetota",0.0754833959778355
"IT-C2","IT-C","Intertidal Control","Thermodesulfobacteriota",0.0294881233773782
"IT-C3","IT-C","Intertidal Control","Actinomycetota",0.002585272287549
"IT-C3","IT-C","Intertidal Control","Bacillota",0.0153170433380591
"IT-C3","IT-C","Intertidal Control","Bacteroidota",0.0281322102688127
"IT-C3","IT-C","Intertidal Control","Campylobacterota",0.0269646679454035
"IT-C3","IT-C","Intertidal Control","Cyanobacteriota",0.00297445306201874
"IT-C3","IT-C","Intertidal Control","Ignavibacteriota",0.000555972534956773
"IT-C3","IT-C","Intertidal Control","Others",0.2302282267256
"IT-C3","IT-C","Intertidal Control","Planctomycetota",0.0813109832374281
"IT-C3","IT-C","Intertidal Control","Pseudomonadota",0.524059711450254
"IT-C3","IT-C","Intertidal Control","Spirochaetota",0.0697189558835793
"IT-C3","IT-C","Intertidal Control","Thermodesulfobacteriota",0.0181525032663386
"IT-C4","IT-C","Intertidal Control","Actinomycetota",0.00511981796202802
"IT-C4","IT-C","Intertidal Control","Bacillota",0.0183815686553367
"IT-C4","IT-C","Intertidal Control","Bacteroidota",0.0905923344947735
"IT-C4","IT-C","Intertidal Control","Campylobacterota",0.038540851880822
"IT-C4","IT-C","Intertidal Control","Cyanobacteriota",0.00469316646519235
"IT-C4","IT-C","Intertidal Control","Ignavibacteriota",0.000639977245253502
"IT-C4","IT-C","Intertidal Control","Others",0.285109862760435
"IT-C4","IT-C","Intertidal Control","Planctomycetota",0.0927255919789519
"IT-C4","IT-C","Intertidal Control","Pseudomonadota",0.318708668136244
"IT-C4","IT-C","Intertidal Control","Spirochaetota",0.113560406741094
"IT-C4","IT-C","Intertidal Control","Thermodesulfobacteriota",0.0319277536798692
"IT-C5","IT-C","Intertidal Control","Actinomycetota",0.00253855343179844
"IT-C5","IT-C","Intertidal Control","Bacillota",0.0751927671589922
"IT-C5","IT-C","Intertidal Control","Bacteroidota",0.119719265855778
"IT-C5","IT-C","Intertidal Control","Campylobacterota",0.052630864465682
"IT-C5","IT-C","Intertidal Control","Cyanobacteriota",0.00272860556038228
"IT-C5","IT-C","Intertidal Control","Ignavibacteriota",0.0149055169417897
"IT-C5","IT-C","Intertidal Control","Others",0.26204115986099
"IT-C5","IT-C","Intertidal Control","Planctomycetota",0.0505131407471764
"IT-C5","IT-C","Intertidal Control","Pseudomonadota",0.214718179843614
"IT-C5","IT-C","Intertidal Control","Spirochaetota",0.0423273240660295
"IT-C5","IT-C","Intertidal Control","Thermodesulfobacteriota",0.162684622067767
"IT-C6","IT-C","Intertidal Control","Actinomycetota",0.00204070815223153
"IT-C6","IT-C","Intertidal Control","Bacillota",0.0163786706244037
"IT-C6","IT-C","Intertidal Control","Bacteroidota",0.0999019399978798
"IT-C6","IT-C","Intertidal Control","Campylobacterota",0.464817661401463
"IT-C6","IT-C","Intertidal Control","Cyanobacteriota",0.00133838651542457
"IT-C6","IT-C","Intertidal Control","Ignavibacteriota",0.000291529736033075
"IT-C6","IT-C","Intertidal Control","Others",0.164899819781618
"IT-C6","IT-C","Intertidal Control","Planctomycetota",0.032797095303721
"IT-C6","IT-C","Intertidal Control","Pseudomonadota",0.132036467719707
"IT-C6","IT-C","Intertidal Control","Spirochaetota",0.0260521573200466
"IT-C6","IT-C","Intertidal Control","Thermodesulfobacteriota",0.0594455634474716
"IT-H1","IT-H","Intertidal Heat","Actinomycetota",0.00517947046253033
"IT-H1","IT-H","Intertidal Heat","Bacillota",0.017059654460502
"IT-H1","IT-H","Intertidal Heat","Bacteroidota",0.0349161505306241
"IT-H1","IT-H","Intertidal Heat","Campylobacterota",0.161976167191858
"IT-H1","IT-H","Intertidal Heat","Cyanobacteriota",0.00383932775544207
"IT-H1","IT-H","Intertidal Heat","Ignavibacteriota",0.000470860951139121
"IT-H1","IT-H","Intertidal Heat","Others",0.263464812198921
"IT-H1","IT-H","Intertidal Heat","Planctomycetota",0.0859140135463074
"IT-H1","IT-H","Intertidal Heat","Pseudomonadota",0.321815350067007
"IT-H1","IT-H","Intertidal Heat","Spirochaetota",0.0723677061827665
"IT-H1","IT-H","Intertidal Heat","Thermodesulfobacteriota",0.032996486652903
"IT-H2","IT-H","Intertidal Heat","Actinomycetota",0.00470554168024034
"IT-H2","IT-H","Intertidal Heat","Bacillota",0.0246497991095667
"IT-H2","IT-H","Intertidal Heat","Bacteroidota",0.0303688420747819
"IT-H2","IT-H","Intertidal Heat","Campylobacterota",0.0452093966047707
"IT-H2","IT-H","Intertidal Heat","Cyanobacteriota",0.00289571795707098
"IT-H2","IT-H","Intertidal Heat","Ignavibacteriota",0.00119448365729178
"IT-H2","IT-H","Intertidal Heat","Others",0.28873927679444
"IT-H2","IT-H","Intertidal Heat","Planctomycetota",0.0838310348572049
"IT-H2","IT-H","Intertidal Heat","Pseudomonadota",0.417924494154269
"IT-H2","IT-H","Intertidal Heat","Spirochaetota",0.0746733268179679
"IT-H2","IT-H","Intertidal Heat","Thermodesulfobacteriota",0.0258080862923951
"IT-H3","IT-H","Intertidal Heat","Actinomycetota",0.00636517404077272
"IT-H3","IT-H","Intertidal Heat","Bacillota",0.0193180806552123
"IT-H3","IT-H","Intertidal Heat","Bacteroidota",0.0369002047538503
"IT-H3","IT-H","Intertidal Heat","Campylobacterota",0.047716549452506
"IT-H3","IT-H","Intertidal Heat","Cyanobacteriota",0.00413958871183121
"IT-H3","IT-H","Intertidal Heat","Ignavibacteriota",0.000845722424997774
"IT-H3","IT-H","Intertidal Heat","Others",0.291329119558444
"IT-H3","IT-H","Intertidal Heat","Planctomycetota",0.0928959316300187
"IT-H3","IT-H","Intertidal Heat","Pseudomonadota",0.360055194516158
"IT-H3","IT-H","Intertidal Heat","Spirochaetota",0.110210985489184
"IT-H3","IT-H","Intertidal Heat","Thermodesulfobacteriota",0.0302234487670257
"IT-H4","IT-H","Intertidal Heat","Actinomycetota",0.00329959060635069
"IT-H4","IT-H","Intertidal Heat","Bacillota",0.0162942745992627
"IT-H4","IT-H","Intertidal Heat","Bacteroidota",0.0255412754343443
"IT-H4","IT-H","Intertidal Heat","Campylobacterota",0.0522638857771351
"IT-H4","IT-H","Intertidal Heat","Cyanobacteriota",0.00246450903313848
"IT-H4","IT-H","Intertidal Heat","Ignavibacteriota",0.00140538118418641
"IT-H4","IT-H","Intertidal Heat","Others",0.270077601482779
"IT-H4","IT-H","Intertidal Heat","Planctomycetota",0.0737112247184146
"IT-H4","IT-H","Intertidal Heat","Pseudomonadota",0.427113672933173
"IT-H4","IT-H","Intertidal Heat","Spirochaetota",0.0880094506792676
"IT-H4","IT-H","Intertidal Heat","Thermodesulfobacteriota",0.0398191335519482
"IT-H5","IT-H","Intertidal Heat","Actinomycetota",0.00666820925976567
"IT-H5","IT-H","Intertidal Heat","Bacillota",0.0179010917352069
"IT-H5","IT-H","Intertidal Heat","Bacteroidota",0.0664507036328068
"IT-H5","IT-H","Intertidal Heat","Campylobacterota",0.0264835187950946
"IT-H5","IT-H","Intertidal Heat","Cyanobacteriota",0.00803550768842424
"IT-H5","IT-H","Intertidal Heat","Ignavibacteriota",0.00122005090557227
"IT-H5","IT-H","Intertidal Heat","Others",0.247375838784998
