"","restI1","restI10","restI11","restI12","restI13","restI14","restI15","restI16","restI17","restI18","restI19","restI1A","restI1H","restI2","restI21","restI22","restI23","restI24","restI25","restI26","restI27","restI28","restI29","restI2A","restI2H","restI3","restI3A","restI3H","restI4A","restI4H","restI5","restI5A","restI5H","restI6","restI6A","restI6H","restI7","restI8","restI9","restS1","restS10","restS11","restS12","restS13","restS14","restS15","restS16","restS17","restS18","restS19","restS1A","restS1H","restS2","restS20","restS21","restS22","restS23","restS24","restS25","restS26","restS27","restS28","restS29","restS2A","restS2H","restS3","restS30","restS3A","restS3H","restS4","restS4A","restS4H","restS5","restS5A","restS5H","restS6","restS6A","restS6H","restS7","restS8","restS9"
"Abditibacteriota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidobacteriota",158,1438,75,117,62,788,70,227,86,142,104,64,78,104,125,509,9803,11448,225,123,715,62,234,75,127,285,57,54,96,68,194,129,163,75,66,110,93,426,1043,142,56,314,365,461,158,109,550,603,166,55,106,65,42,36,381,79,12,34,883,474,586,520,67,24,12,134,170,310,24,385,26,17,249,84,123,12,25,41,20,52,189
"Actinomycetota",52,79,61,66,31,85,114,141,58,78,119,112,143,58,102,160,1276,491,55,104,123,61,85,82,130,129,93,143,144,162,170,187,317,64,154,110,47,85,3231,248,43,35,51,31,40,24,54,17,13,27,201,174,38,39,28,80,38,28,31,30,58,44,27,156,144,10,12,402,93,31,130,121,12,195,199,5,191,186,12,9,16
"Armatimonadota",0,0,0,0,1,1,0,0,0,2,3,0,0,2,1,11,9,0,0,5,2,0,0,0,0,0,0,0,0,3,2,18,1,2,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,4,0,0,74,2,0,4,0,0,0,0,0,0,0,0,0,0
"Atribacterota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacillota",463,611,694,540,461,696,645,620,646,360,541,424,471,597,732,3124,839,510,395,474,297,573,519,627,681,797,551,434,517,800,568,5539,851,570,1236,848,595,529,436,1441,107,107,261,82,175,87,61,63,64,88,555,222,87,101,4225,84,55,350,131,90,128,157,116,148,984,45,49,36936,397,70,532,170,58,612,2646,31,298,701,41,61,73
"bacterium SCSIO (no phylum in NCBI)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroidota",1070,4287,913,951,846,2649,1078,1666,1121,1067,1763,802,964,1596,1445,3718,6413,6949,1445,1431,6850,905,1217,1009,839,2048,1012,829,2548,1254,1653,8819,3159,1096,7539,3596,1122,1357,2273,1828,972,1925,2322,742,2220,1248,1288,946,913,875,2414,1116,1019,1031,1416,1325,825,149580,2019,1472,3146,1648,1744,857,13763,740,539,329492,1437,1467,3089,783,951,2390,11223,490,10861,35035,671,495,853
"Balneolota",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,5,0,0,0,0,188,2,4,2,0,0,0,20,0,0,32,0,0,0,0,0,0,8,0,0,0,0,0,1
"Bdellovibrionota",10,12,6,2,5,26,11,12,11,6,38,0,9,12,29,15,16,10,12,16,5,6,11,6,26,11,5,14,6,4,13,90,41,11,19,13,4,16,8,5,6,4,7,5,6,8,0,0,10,49,12,41,1,55,4,2,2,4,5,0,3,3,3,0,11,0,1,536,12,11,2,18,0,32,40,32,0,24,54,6,0
"Caldisericota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calditrichota",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,2,0,0,0,0,0,0,0,0,0,0,0
"Campylobacterota",88,234,38,56,40,920,75,138,84,88,164,1382,4472,63,262,10203,423,68,48,79,161,176,57,1018,1249,100,970,1072,1084,2566,117,3877,1259,88,35077,5054,85,100,107,114,98,112,309,55,300,106,129,41,67,151,1692,1185,182,96,271,298,39,274,273,82,193,63,201,2293,22257,44,41,404102,1627,58,6656,1123,52,1616,2533,46,2294,3861,73,59,68
"Candidatus Absconditabacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
