"Sample","Shannon","Group","Level"
"IT-C1",2.99446455559259,"IT-C","Genus"
"IT-C2",3.13945197498497,"IT-C","Genus"
"IT-C3",2.93591589929217,"IT-C","Genus"
"IT-C4",3.27106878910577,"IT-C","Genus"
"IT-C5",3.62951552262425,"IT-C","Genus"
"IT-C6",2.86795065504514,"IT-C","Genus"
"IT-H1",3.17501464217794,"IT-H","Genus"
"IT-H2",3.08484739522029,"IT-H","Genus"
"IT-H3",3.11887479263485,"IT-H","Genus"
"IT-H4",3.04336267734099,"IT-H","Genus"
"IT-H5",3.52144200706822,"IT-H","Genus"
"IT-H6",3.40061818416428,"IT-H","Genus"
"ST-C1",2.81993055270732,"ST-C","Genus"
"ST-C2",2.86755060676575,"ST-C","Genus"
"ST-C3",2.84966374107088,"ST-C","Genus"
"ST-C4",3.04939174061995,"ST-C","Genus"
"ST-C5",2.97745122573842,"ST-C","Genus"
"ST-C6",2.75856342837842,"ST-C","Genus"
"ST-H1",2.41308456796242,"ST-H","Genus"
"ST-H2",3.1580598036423,"ST-H","Genus"
"ST-H3",3.27945401982731,"ST-H","Genus"
"ST-H4",2.87957451481091,"ST-H","Genus"
"ST-H5",3.27951271306159,"ST-H","Genus"
"ST-H6",2.66850984884638,"ST-H","Genus"
"IT-C1",0.865664766643798,"IT-C","KO"
"IT-C2",1.44197662849463,"IT-C","KO"
"IT-C3",1.50299619233537,"IT-C","KO"
"IT-C4",1.21035542860812,"IT-C","KO"
"IT-C5",4.02501967230463,"IT-C","KO"
"IT-C6",4.49806722006927,"IT-C","KO"
"IT-H1",2.27607038569917,"IT-H","KO"
"IT-H2",1.58163540004282,"IT-H","KO"
"IT-H3",1.10966759131889,"IT-H","KO"
"IT-H4",1.81814383551289,"IT-H","KO"
"IT-H5",1.38782220294997,"IT-H","KO"
"IT-H6",2.56768517014538,"IT-H","KO"
"ST-C1",3.05882552085326,"ST-C","KO"
"ST-C2",1.86012436358472,"ST-C","KO"
"ST-C3",4.87263370317383,"ST-C","KO"
"ST-C4",3.17070179433562,"ST-C","KO"
"ST-C5",2.91483553710926,"ST-C","KO"
"ST-C6",1.60094180332118,"ST-C","KO"
"ST-H1",3.19804322124819,"ST-H","KO"
"ST-H2",3.92857883888247,"ST-H","KO"
"ST-H3",2.82775341282477,"ST-H","KO"
"ST-H4",3.09681499796472,"ST-H","KO"
"ST-H5",4.21735768646365,"ST-H","KO"
"ST-H6",3.14344414684707,"ST-H","KO"
